cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
         1, 5.308498442E-02, 7.987086475E-02, 2.379652555E+05, 6.493000204E+02, 3.526441424E-01,-1.684273870E+05, 1.096603864E-03
         2, 5.345532671E-02, 7.883869112E-02, 2.379576288E+05, 6.493006213E+02, 3.508501367E-01,-1.672494472E+05, 1.096604387E-03
         3, 5.382415280E-02, 7.780596614E-02, 2.377996986E+05, 6.494882767E+02, 3.507924901E-01,-1.653821369E+05, 1.096604337E-03
         4, 5.419154838E-02, 7.677274197E-02, 2.375810475E+05, 6.498173485E+02, 3.507479028E-01,-1.635090015E+05, 1.096603445E-03
         5, 5.455759168E-02, 7.573903352E-02, 2.373458516E+05, 6.502127416E+02, 3.506715763E-01,-1.617404594E+05, 1.096602575E-03
         6, 5.492234230E-02, 7.470487058E-02, 2.370879106E+05, 6.505673161E+02, 3.506858894E-01,-1.603004382E+05, 1.096602154E-03
         7, 5.528584868E-02, 7.367026806E-02, 2.368015542E+05, 6.507851794E+02, 3.508527278E-01,-1.594373101E+05, 1.096601980E-03
         8, 5.564816669E-02, 7.263525575E-02, 2.364923092E+05, 6.507869382E+02, 3.511167141E-01,-1.592237821E+05, 1.096601849E-03
         9, 5.600935593E-02, 7.159984112E-02, 2.361588717E+05, 6.505228794E+02, 3.515054717E-01,-1.597419327E+05, 1.096601570E-03
        10, 5.636946112E-02, 7.056405395E-02, 2.358115398E+05, 6.499842465E+02, 3.518984208E-01,-1.608362456E+05, 1.096601160E-03
        11, 5.672854185E-02, 6.952790916E-02, 2.354564536E+05, 6.492263658E+02, 3.523093389E-01,-1.623668043E+05, 1.096601060E-03
        12, 5.708665773E-02, 6.849142909E-02, 2.351188636E+05, 6.483521152E+02, 3.526705860E-01,-1.640445540E+05, 1.096601211E-03
        13, 5.744386092E-02, 6.745463610E-02, 2.348055901E+05, 6.475103893E+02, 3.530150954E-01,-1.654626928E+05, 1.096601449E-03
        14, 5.780021474E-02, 6.641755253E-02, 2.344971535E+05, 6.468320759E+02, 3.532396022E-01,-1.661601237E+05, 1.096601620E-03
        15, 5.815577134E-02, 6.538019329E-02, 2.341664203E+05, 6.464472067E+02, 3.534892227E-01,-1.659899828E+05, 1.096601583E-03
        16, 5.851057172E-02, 6.434257329E-02, 2.338058938E+05, 6.464290460E+02, 3.536612218E-01,-1.648698887E+05, 1.096601383E-03
        17, 5.886463076E-02, 6.330470741E-02, 2.334196245E+05, 6.467649934E+02, 3.536833988E-01,-1.629519480E+05, 1.096601170E-03
        18, 5.921795592E-02, 6.226658076E-02, 2.330064532E+05, 6.473496056E+02, 3.536594192E-01,-1.606146921E+05, 1.096600960E-03
        19, 5.957053602E-02, 6.122820824E-02, 2.325451230E+05, 6.479931823E+02, 3.537335811E-01,-1.584617182E+05, 1.096600755E-03
        20, 5.992236733E-02, 6.018958241E-02, 2.320431389E+05, 6.484982285E+02, 3.538535896E-01,-1.569064386E+05, 1.096600562E-03
        21, 6.027345732E-02, 5.915070325E-02, 2.315424123E+05, 6.486757188E+02, 3.534144503E-01,-1.563146933E+05, 1.096600407E-03
        22, 6.062381715E-02, 5.811157823E-02, 2.311767312E+05, 6.483809907E+02, 3.527835929E-01,-1.571262697E+05, 1.096600430E-03
        23, 6.097348407E-02, 5.707221851E-02, 2.308572122E+05, 6.475184619E+02, 3.529042157E-01,-1.594923226E+05, 1.096600618E-03
        24, 6.132249907E-02, 5.603263900E-02, 2.304641989E+05, 6.460644976E+02, 3.536428403E-01,-1.631429907E+05, 1.096600886E-03
        25, 6.167089567E-02, 5.499285832E-02, 2.300037832E+05, 6.441216111E+02, 3.544545168E-01,-1.675827788E+05, 1.096601157E-03
        26, 6.201872602E-02, 5.395288020E-02, 2.295237963E+05, 6.419654998E+02, 3.551841533E-01,-1.719861221E+05, 1.096601355E-03
        27, 6.236601621E-02, 5.291272327E-02, 2.290305951E+05, 6.399962945E+02, 3.559157288E-01,-1.753542932E+05, 1.096601388E-03
        28, 6.271274388E-02, 5.187238008E-02, 2.285153984E+05, 6.386486131E+02, 3.564067360E-01,-1.765309535E+05, 1.096601213E-03
        29, 6.305886805E-02, 5.083183572E-02, 2.279925549E+05, 6.385361249E+02, 3.563424296E-01,-1.740399062E+05, 1.096600911E-03
        30, 6.340432912E-02, 4.979107529E-02, 2.274688932E+05, 6.398285807E+02, 3.557846423E-01,-1.680722058E+05, 1.096600580E-03
        31, 6.374908984E-02, 4.875007644E-02, 2.269226446E+05, 6.423067772E+02, 3.547279743E-01,-1.597474779E+05, 1.096600329E-03
        32, 6.409308314E-02, 4.770882800E-02, 2.263774857E+05, 6.455600236E+02, 3.534697509E-01,-1.504308234E+05, 1.096600269E-03
