cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,          y-plus,       heat-flux,face-area-magnitude
         1, 5.912810937E-02, 6.253098696E-02, 2.330469082E+05, 6.471341216E+02, 3.536905412E-01,-1.610617736E+05, 6.861772508E-04
         2, 5.934893340E-02, 6.188131124E-02, 2.328023526E+05, 6.475248007E+02, 3.532061648E-01,-1.593805263E+05, 6.861771694E-04
         3, 5.956946686E-02, 6.123153865E-02, 2.325259526E+05, 6.479089050E+02, 3.531214741E-01,-1.580562040E+05, 6.861770899E-04
         4, 5.978970975E-02, 6.058166921E-02, 2.322495709E+05, 6.482339802E+02, 3.531220631E-01,-1.571752022E+05, 6.861770131E-04
         5, 6.000965834E-02, 5.993169919E-02, 2.319862077E+05, 6.484568420E+02, 3.529987243E-01,-1.565693306E+05, 6.861769396E-04
         6, 6.022932008E-02, 5.928162858E-02, 2.317262524E+05, 6.485397118E+02, 3.529337332E-01,-1.563707582E+05, 6.861768760E-04
         7, 6.044868752E-02, 5.863146484E-02, 2.314608366E+05, 6.484488102E+02, 3.530035184E-01,-1.566598267E+05, 6.861768587E-04
         8, 6.066777930E-02, 5.798120424E-02, 2.311795162E+05, 6.481514340E+02, 3.532034278E-01,-1.574966880E+05, 6.861768926E-04
         9, 6.088659912E-02, 5.733085424E-02, 2.308893975E+05, 6.476231432E+02, 3.534063820E-01,-1.588868100E+05, 6.861769642E-04
        10, 6.110515818E-02, 5.668041483E-02, 2.306053800E+05, 6.468598370E+02, 3.535741242E-01,-1.608003679E+05, 6.861770607E-04
        11, 6.132346764E-02, 5.602989346E-02, 2.303337622E+05, 6.458781579E+02, 3.537853029E-01,-1.631735467E+05, 6.861771694E-04
        12, 6.154154241E-02, 5.537929013E-02, 2.300670977E+05, 6.447172352E+02, 3.541407699E-01,-1.658915753E+05, 6.861772783E-04
        13, 6.175938249E-02, 5.472861230E-02, 2.297932549E+05, 6.434345627E+02, 3.546230024E-01,-1.687330808E+05, 6.861773761E-04
        14, 6.197700649E-02, 5.407785624E-02, 2.295042584E+05, 6.421110309E+02, 3.551443174E-01,-1.714445885E+05, 6.861774516E-04
