iteration,heat_rate_magnitude_W_per_m,wall_temperature_K,mach_outlet
20,21113.2709804324,563.339848855743,0.654156061349224
21,21361.0139137325,565.266212819495,0.672529801393911
22,21648.3273242826,567.653346355237,0.690210250773726
23,22024.5976894563,570.494376669844,0.707108932024714
24,22529.3753554786,573.801887046778,0.723152617404062
25,23206.7587463563,577.439392903386,0.738285405853602
26,24080.6169425381,581.254862185952,0.752470496066444
27,25135.6320793513,585.180997180407,0.765685446668228
28,26289.619039348,589.116479286116,0.777923400178032
29,27483.8231669004,593.131637285655,0.789192046431158
30,28652.7739801012,597.122561734604,0.799511024830739
31,29753.6102234598,601.029681110968,0.808910302792706
32,30752.2966588863,604.726321877325,0.817427582749786
33,31634.0452738905,608.189321953021,0.825108036065962
34,32394.0266995151,611.471180646044,0.83200142783349
35,33019.5287385357,614.58840057413,0.83816159495437
36,33518.088452555,617.537732162525,0.843642688159058
37,33914.4715366638,620.343290486755,0.848499505675672
38,34228.7388979049,622.99080684293,0.852786636625235
39,34479.6340022324,625.481749870811,0.856557449914195
40,34684.0294878442,627.80182851091,0.859863041211522
41,34849.8120651919,629.999888826636,0.862751891429394
42,34980.3992514025,632.070406947076,0.865269572151101
43,35078.3039179923,634.001543764373,0.867458110658012
44,35158.308431149,635.79779292093,0.869356033364581
45,35226.7823505637,637.465374817365,0.870998324976475
46,35286.2694356727,639.008924721954,0.872416508828125
47,35339.5980047194,640.438820573891,0.87363863123851
48,35388.0278045427,641.759653465727,0.874689839843494
49,35431.430926133,642.971031492392,0.875592401483007
50,35470.8575921161,644.094857108937,0.876365874464674
51,35501.2522338672,645.116825690433,0.877027276123766
52,35529.2079240199,646.055709347316,0.877591389724474
53,35551.2902093495,646.912211961689,0.878070926053876
54,35568.7222371777,648.015746457464,0.878477451343147
55,35433.9295297488,648.662111427678,0.878818729834252
56,35479.9736814384,649.253864054354,0.87910437855928
57,35515.068368456,650.012291015944,0.879341675923661
58,35450.6441412865,650.469802875392,0.879535384135061
59,35496.774669977,651.05241034787,0.879692104301787
60,35467.6085359099,651.410772866615,0.87981534630427
61,35513.7534650106,651.867750148943,0.879910178305357
62,35501.812696218,652.254698261241,0.879979541781591
63,35504.2209181835,652.586749006036,0.880026744122926
64,35514.5197598774,652.802956697288,0.880054555538021
65,35555.2974816587,653.081422973548,0.880066110020655
66,35561.9870953253,653.323446092617,0.880063337420349
67,35575.4321360194,652.825129259371,0.880061381916807
68,35454.8582210728,652.611374397377,0.880066018499876
69,35474.4380605157,652.54072953991,0.88008318955005
70,35475.1526867107,652.576891281902,0.880115577535172
71,35525.3166317455,652.670411786194,0.880167269514778
72,35592.8021867628,652.806540219767,0.880239525863907
73,35659.1939973099,653.035201404907,0.880338504656152
74,35731.2857411498,653.243451849839,0.880463412524998
75,35785.3155204209,653.438752874702,0.880622719100425
76,35827.6271617703,653.622026471238,0.880828877468984
77,35855.7137543723,653.788764020242,0.881095935260005
78,35878.0455057128,653.948512387401,0.881439470971507
79,35892.0228814737,654.101768494413,0.88187054163195
80,35901.7512020315,654.245209084828,0.882396065944224
81,35907.5427117273,654.382879575712,0.88301594547966
82,35911.6580241906,654.511500678425,0.883723453322565
83,35913.7715400901,654.631520423615,0.884504927947345
84,35914.3719589236,654.743086600065,0.885343802898275
85,35912.9859511517,654.845944490671,0.886221626965463
86,35909.940705113,654.939003403722,0.88711927563051
87,35905.8239231867,655.022587727452,0.888019324693124
88,35900.6402278928,655.096492034404,0.888905580775549
89,35894.808135295,655.160605203067,0.889764024475135
90,35888.7730590094,655.216108719906,0.89058546548237
91,35882.6887886219,655.263925224496,0.891364370488639
92,35876.615124394,655.304864066091,0.892096766227122
93,35870.8192577651,655.339874479795,0.892781619423879
94,35865.4349602685,655.369620108389,0.893418679848062
95,35860.5211967721,655.395077132198,0.894010208999352
96,35855.9762548971,655.417223395079,0.894559440035093
97,35851.8675152169,655.436805620071,0.895069847056242
98,35848.1973307752,655.454030842088,0.895545236481669
99,35844.849039639,655.469314776427,0.895989816096871
100,35841.7903495192,655.483170176405,0.896406845829172
101,35838.9936052972,655.495457573068,0.896799304379398
102,35836.4579444159,655.506930192282,0.897170306556004
103,35834.2239375131,655.517545715924,0.897520824786075
104,35832.1884774733,655.527178954079,0.897852557995009
105,35830.3745580542,655.536010305297,0.898166484959762
106,35828.7301737866,655.54411931809,0.89846270956066
107,35827.2611753991,655.551250582807,0.898741096842026
108,35825.8584374382,655.557832266762,0.899001766626868
109,35824.6226905289,655.563992181295,0.899244657543889
110,35823.4564821316,655.56971775194,0.899469946314535
111,35822.441379367,655.574907477075,0.899677590735694
112,35821.5479150264,655.579634122568,0.8998679906361
113,35820.796405378,655.583976686189,0.900041211381516
114,35820.135732698,655.588064669322,0.900197770108725
115,35819.6405233974,655.591826451199,0.900338438557452
116,35819.2195081078,655.595211915351,0.900464074415371
117,35818.9070469928,655.598338061946,0.900575721969236
118,35818.6331231158,655.601051341881,0.900674423882826
119,35818.4799877837,655.603421766637,0.900761220330682
120,35818.3881119845,655.605475130228,0.900837098367969
121,35818.3870689664,655.607249922697,0.900903016407205
122,35818.4259611852,655.608735745889,0.900959958938316
123,35818.5321242495,655.609986073855,0.901008922868643
124,35818.6635995816,655.611029942512,0.901050823711106
125,35818.8536539143,655.611858467941,0.901086472672152
126,35819.0465064086,655.612538987546,0.90111658693191
127,35819.2796706178,655.61302300286,0.901141844930822
128,35819.4949230583,655.613399820933,0.901162856124606
129,35819.7250432943,655.613717647511,0.901180171241521
130,35819.9494391285,655.614097873096,0.901194279838955
131,35820.158990819,655.61439032824,0.90120563446035
132,35820.3618315532,655.614599533435,0.90121464970557
133,35820.586803742,655.614751822548,0.901221682955684
134,35820.7924041219,655.614861300889,0.901227045338308
135,35821.009556497,655.614941603393,0.901231002682616
136,35821.1946132765,655.614960217824,0.901233781806767
137,35821.3783634979,655.614966048678,0.901235574373696
138,35821.5349476358,655.614979205722,0.901236549370446
139,35821.6945678727,655.614981413637,0.901236850401611
140,35821.8207871884,655.614973174421,0.901236599587061
141,35821.950700371,655.614920818141,0.901235904086858
142,35822.0337320858,655.61492896527,0.901234861489882
143,35822.1293822562,655.614975598765,0.901233542459157
144,35822.16818081,655.614797263851,0.901232022492432
145,35822.1654203619,655.614672992997,0.90123037416087
146,35822.1506167744,655.614645477237,0.901228655520729
147,35822.1162045863,655.614835816003,0.901226922967344
148,35822.1053921914,655.615025642205,0.901225220738813
149,35822.0961450705,655.61521783521,0.901223601126808
150,35822.0711159808,655.615370894062,0.901222112064037
151,35822.0832355649,655.615493294785,0.901220799514642
152,35822.0231041678,655.615560961857,0.9012196971569
153,35821.9714938656,655.615642672432,0.901218853040266
154,35821.8764713051,655.615742518115,0.901218303174656
155,35821.7848684452,655.615880319785,0.901218078357045
156,35821.6539610831,655.616051329197,0.9012182046637
157,35821.5213804887,655.616229480962,0.901218703746337
158,35821.2728133801,655.616418020202,0.901219620820706
159,35821.1416969045,655.616674223755,0.901220965269572
160,35821.0223255572,655.617041685825,0.901222734709773
161,35820.9163135553,655.617426288398,0.901224914920837
162,35820.7912913035,655.617834402609,0.901227487909218
163,35820.6770013373,655.618228090249,0.901230437378291
164,35820.5429452004,655.618607458102,0.901233749283094
165,35820.4328735257,655.618973922849,0.901237411087228
166,35820.301588,655.619322679788,0.901241409709929
167,35820.1924372719,655.619656947332,0.901245730303487
168,35820.0625429147,655.619998236317,0.901250353103802
169,35819.9623494893,655.620319428768,0.90125525451891
170,35819.836538517,655.620615026541,0.901260403577763
171,35819.73433818,655.620888401364,0.901265765531987
172,35819.6110224941,655.621212360056,0.901271302859985
173,35819.4917419338,655.621495911915,0.901276976563708
174,35819.3556144282,655.62174511561,0.901282746208636
175,35819.2444787255,655.621970014923,0.90128857206876
176,35819.1155047455,655.622162145221,0.901294415016049
177,35819.0093249685,655.622327837792,0.901300236120351
178,35818.8854621491,655.622471155621,0.901306001779079
179,35818.78836802,655.622600714403,0.901311677453799
180,35818.6707601662,655.62278117743,0.901317229499479
181,35818.6002871439,655.622942291456,0.901322628322734
