report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208674,kg/s,1.0,kg/(s*m)
mass_flow,outlet,-19.208664,kg/s,1.0,kg/(s*m)
mass_flow,net,9.7706091e-06,kg/s,1.0,kg/(s*m)
heat_transfer,wall_vane_solid_side,35819.602,W,1.0,W/m
heat_transfer,wall_vane_fluid_side,-35819.604,W,1.0,W/m
heat_transfer,cooling_hole_01,-4018.3189,W,1.0,W/m
heat_transfer,cooling_hole_02,-3818.1903,W,1.0,W/m
heat_transfer,cooling_hole_03,-3748.0139,W,1.0,W/m
heat_transfer,cooling_hole_04,-3884.5069,W,1.0,W/m
heat_transfer,cooling_hole_05,-4530.393,W,1.0,W/m
heat_transfer,cooling_hole_06,-3968.6881,W,1.0,W/m
heat_transfer,cooling_hole_07,-4826.246,W,1.0,W/m
heat_transfer,cooling_hole_08,-3295.5444,W,1.0,W/m
heat_transfer,cooling_hole_09,-2140.6007,W,1.0,W/m
heat_transfer,cooling_hole_10,-1588.4114,W,1.0,W/m
heat_transfer,cooling_holes_total,-35818.914,W,1.0,W/m
wall_yplus,minimum,0.01044239,-,1.0,-
wall_yplus,area_weighted_average,0.30440758,-,1.0,-
wall_yplus,maximum,0.45188603,-,1.0,-
