cellnumber,    x-coordinate,    y-coordinate,        pressure,     temperature,   intermittency,momentum-thickness-re,          y-plus,       heat-flux,face-area-magnitude
         1, 4.571863264E-02, 5.833970755E-02, 3.819684479E+05, 5.692798559E+02, 2.000468698E-02, 3.755258337E+02, 1.983977723E-01,-6.029349220E+04, 3.907368740E-04
         2, 4.550694674E-02, 5.866813287E-02, 3.822810755E+05, 5.687717984E+02, 2.000478842E-02, 3.737494150E+02, 1.974254822E-01,-6.086082222E+04, 3.907370936E-04
         3, 4.529467970E-02, 5.899618566E-02, 3.825886835E+05, 5.683554369E+02, 2.000489258E-02, 3.719775258E+02, 1.964408729E-01,-6.131958402E+04, 3.907373637E-04
         4, 4.508182406E-02, 5.932385474E-02, 3.828914102E+05, 5.680245358E+02, 2.000499956E-02, 3.702102214E+02, 1.954427475E-01,-6.167670030E+04, 3.907377068E-04
         5, 4.486837983E-02, 5.965114385E-02, 3.831892871E+05, 5.677765206E+02, 2.000510937E-02, 3.684476434E+02, 1.944286715E-01,-6.193338464E+04, 3.907381455E-04
         6, 4.465434328E-02, 5.997804552E-02, 3.834823657E+05, 5.676130547E+02, 2.000522204E-02, 3.666900529E+02, 1.934018093E-01,-6.207375471E+04, 3.907386365E-04
         7, 4.443971440E-02, 6.030455977E-02, 3.837707882E+05, 5.675314921E+02, 2.000533756E-02, 3.649375037E+02, 1.923618488E-01,-6.207999117E+04, 3.907389381E-04
         8, 4.422448203E-02, 6.063067541E-02, 3.840546037E+05, 5.675172488E+02, 2.000545600E-02, 3.631901229E+02, 1.913073648E-01,-6.196100138E+04, 3.907390194E-04
         9, 4.400864244E-02, 6.095638871E-02, 3.843338252E+05, 5.675534967E+02, 2.000557728E-02, 3.614480181E+02, 1.902420082E-01,-6.173560345E+04, 3.907389200E-04
        10, 4.379219189E-02, 6.128169969E-02, 3.846085010E+05, 5.676255140E+02, 2.000570142E-02, 3.597113047E+02, 1.891672206E-01,-6.141747213E+04, 3.907386797E-04
        11, 4.357512668E-02, 6.160659716E-02, 3.848785941E+05, 5.677168167E+02, 2.000582841E-02, 3.579800829E+02, 1.880839765E-01,-6.102462593E+04, 3.907383390E-04
        12, 4.335743934E-02, 6.193108112E-02, 3.851440505E+05, 5.678104409E+02, 2.000595820E-02, 3.562544609E+02, 1.870001854E-01,-6.058235353E+04, 3.907379385E-04
        13, 4.313912988E-02, 6.225514039E-02, 3.854048958E+05, 5.678933158E+02, 2.000609081E-02, 3.545345316E+02, 1.859228217E-01,-6.011036378E+04, 3.907375194E-04
        14, 4.292018339E-02, 6.257877499E-02, 3.856611690E+05, 5.679548856E+02, 2.000622629E-02, 3.528203615E+02, 1.848537481E-01,-5.962039071E+04, 3.907371233E-04
        15, 4.270060360E-02, 6.290198117E-02, 3.859128864E+05, 5.679832883E+02, 2.000636459E-02, 3.511120171E+02, 1.837948031E-01,-5.912838355E+04, 3.907367921E-04
        16, 4.248037934E-02, 6.322474033E-02, 3.861600418E+05, 5.679673271E+02, 2.000650570E-02, 3.494095617E+02, 1.827502452E-01,-5.865344385E+04, 3.907365681E-04
        17, 4.225951061E-02, 6.354705989E-02, 3.864026328E+05, 5.678985526E+02, 2.000664952E-02, 3.477130365E+02, 1.817310201E-01,-5.821286738E+04, 3.907364933E-04
        18, 4.203799367E-02, 6.386893988E-02, 3.866407716E+05, 5.677698478E+02, 2.000679631E-02, 3.460224906E+02, 1.807493070E-01,-5.782420804E+04, 3.907365746E-04
        19, 4.181582481E-02, 6.419036537E-02, 3.868746872E+05, 5.675770627E+02, 2.000694612E-02, 3.443379167E+02, 1.798066206E-01,-5.749854665E+04, 3.907367756E-04
        20, 4.159301519E-02, 6.451135129E-02, 3.871046353E+05, 5.673194983E+02, 2.000709871E-02, 3.426593051E+02, 1.788988323E-01,-5.724385413E+04, 3.907370759E-04
        21, 4.136955738E-02, 6.483189017E-02, 3.873308321E+05, 5.670034525E+02, 2.000725431E-02, 3.409867155E+02, 1.780210901E-01,-5.704298884E+04, 3.907374565E-04
        22, 4.114546627E-02, 6.515198201E-02, 3.875534468E+05, 5.666230357E+02, 2.000741291E-02, 3.393201904E+02, 1.771710264E-01,-5.691487205E+04, 3.907378987E-04
        23, 4.092073813E-02, 6.547162682E-02, 3.877726095E+05, 5.661843038E+02, 2.000757459E-02, 3.376597890E+02, 1.763473137E-01,-5.684731574E+04, 3.907383841E-04
        24, 4.069537669E-02, 6.579082459E-02, 3.879884741E+05, 5.656848698E+02, 2.000773938E-02, 3.360055803E+02, 1.755523520E-01,-5.684658110E+04, 3.907388940E-04
        25, 4.046938941E-02, 6.610958278E-02, 3.882012299E+05, 5.651219411E+02, 2.000790738E-02, 3.343576321E+02, 1.747866082E-01,-5.692937249E+04, 3.907394100E-04
        26, 4.024277627E-02, 6.642789394E-02, 3.884110760E+05, 5.645005678E+02, 2.000807873E-02, 3.327160173E+02, 1.740466497E-01,-5.709652399E+04, 3.907399137E-04
        27, 4.001554102E-02, 6.674576551E-02, 3.886182193E+05, 5.638284589E+02, 2.000825363E-02, 3.310808300E+02, 1.733249409E-01,-5.734056053E+04, 3.907403870E-04
        28, 3.978768736E-02, 6.706319749E-02, 3.888228124E+05, 5.631135513E+02, 2.000843238E-02, 3.294521886E+02, 1.726065939E-01,-5.764870342E+04, 3.907408117E-04
        29, 3.955921903E-02, 6.738018245E-02, 3.890248379E+05, 5.623602897E+02, 2.000861515E-02, 3.278302482E+02, 1.718749738E-01,-5.801572202E+04, 3.907411363E-04
        30, 3.933013603E-02, 6.769672036E-02, 3.892241308E+05, 5.615743214E+02, 2.000880150E-02, 3.262151612E+02, 1.711308909E-01,-5.844311232E+04, 3.907411986E-04
        31, 3.910042346E-02, 6.801281124E-02, 3.894205765E+05, 5.607646911E+02, 2.000899235E-02, 3.246071710E+02, 1.703866282E-01,-5.892872368E+04, 3.907410011E-04
        32, 3.887008503E-02, 6.832844019E-02, 3.896141679E+05, 5.599411057E+02, 2.000918794E-02, 3.230063690E+02, 1.696444931E-01,-5.946299949E+04, 3.907406084E-04
        33, 3.863910586E-02, 6.864360720E-02, 3.898049186E+05, 5.591124490E+02, 2.000938841E-02, 3.214128638E+02, 1.688998885E-01,-6.003494205E+04, 3.907400864E-04
        34, 3.840747848E-02, 6.895828992E-02, 3.899928117E+05, 5.582861081E+02, 2.000959399E-02, 3.198267889E+02, 1.681492019E-01,-6.063789779E+04, 3.907395017E-04
        35, 3.817519546E-02, 6.927248836E-02, 3.901778137E+05, 5.574701300E+02, 2.000980496E-02, 3.182482809E+02, 1.673909675E-01,-6.126542212E+04, 3.907389221E-04
        36, 3.794225305E-02, 6.958620250E-02, 3.903598846E+05, 5.566737968E+02, 2.001002162E-02, 3.166774718E+02, 1.666249255E-01,-6.190843094E+04, 3.907384161E-04
        37, 3.770864010E-02, 6.989941001E-02, 3.905389985E+05, 5.559071168E+02, 2.001024430E-02, 3.151144889E+02, 1.658508256E-01,-6.255439238E+04, 3.907380531E-04
        38, 3.747434542E-02, 7.021211088E-02, 3.907151350E+05, 5.551793502E+02, 2.001047333E-02, 3.135594472E+02, 1.650650300E-01,-6.318884542E+04, 3.907379037E-04
        39, 3.723936900E-02, 7.052430511E-02, 3.908882014E+05, 5.544977846E+02, 2.001070890E-02, 3.120124535E+02, 1.642662226E-01,-6.379786037E+04, 3.907380392E-04
        40, 3.700369596E-02, 7.083596289E-02, 3.910581022E+05, 5.538659436E+02, 2.001095105E-02, 3.104736101E+02, 1.634657553E-01,-6.437729529E+04, 3.907385268E-04
        41, 3.676732630E-02, 7.114709914E-02, 3.912248769E+05, 5.532858161E+02, 2.001120032E-02, 3.089430086E+02, 1.626773039E-01,-6.492548618E+04, 3.907392101E-04
