metric,units,value
final_iteration,-,556.0
mass_flow_inlet,kg/(s*m),19.201935
mass_flow_outlet,kg/(s*m),-19.201906
mass_flow_net,kg/(s*m),2.8856682e-05
mass_imbalance_percent,%,0.000150280077
heat_rate_wall_vane,W/m,28548.274
heat_rate_wall_vane_shadow,W/m,-28548.269
interface_heat_residual,W/m,0.0054441377
interface_mismatch_percent,%,1.907e-05
heat_rate_cooling_holes_total,W/m,-28548.220067912
solid_heat_residual,W/m,0.053932088
solid_heat_imbalance_percent,%,0.000188915
wall_yplus_min,-,0.0078900065
wall_yplus_area_average,-,0.25109164
wall_yplus_max,-,0.39839333
heat_rate_cooling_hole_01,W/m,-3009.8765
heat_rate_cooling_hole_02,W/m,-3128.1005
heat_rate_cooling_hole_03,W/m,-2640.7438
heat_rate_cooling_hole_04,W/m,-2663.7924
heat_rate_cooling_hole_05,W/m,-3627.1717
heat_rate_cooling_hole_06,W/m,-3286.1249
heat_rate_cooling_hole_07,W/m,-4166.1378
heat_rate_cooling_hole_08,W/m,-2828.2827
heat_rate_cooling_hole_09,W/m,-1820.5373
heat_rate_cooling_hole_10,W/m,-1377.4526
