iteration,continuity,x_velocity,y_velocity,energy,k,omega,intermittency,retheta
236,0.00066568,6.4634e-08,1.6208e-07,3.1298e-07,3.8531e-06,6.8366e-06,0.0,0.0
237,0.00065012,6.2813e-08,1.575e-07,3.0664e-07,0.0201,0.00011431,0.0053351,278.08
238,0.0011813,6.8398e-07,1.5112e-06,9.3645e-07,0.0088248,6.6107e-05,0.0059027,0.16197
239,0.0026788,8.7864e-07,1.9471e-06,1.3225e-06,0.0052453,0.00030124,0.0011664,0.042681
240,0.0041201,1.0814e-06,2.3727e-06,1.7311e-06,0.0032796,0.00072029,0.00046323,0.030505
241,0.0049076,1.2063e-06,2.6219e-06,1.9522e-06,0.0022138,0.00059298,0.00031915,0.022994
242,0.0051215,1.1765e-06,2.5546e-06,1.9783e-06,0.0016657,0.00062746,0.00025576,0.017527
243,0.0049339,1.1204e-06,2.4448e-06,2.023e-06,0.001318,0.00061664,0.00021806,0.01357
244,0.0047308,1.0655e-06,2.3189e-06,2.0617e-06,0.0010839,0.00063416,0.00018999,0.010723
245,0.0045712,1.012e-06,2.1975e-06,2.1044e-06,0.00089845,0.00067236,0.00016853,0.0086882
246,0.0043466,9.6816e-07,2.0885e-06,2.1429e-06,0.00077408,0.00071804,0.00014629,0.0072078
247,0.0041294,9.3908e-07,1.9854e-06,2.1673e-06,0.00066731,0.00077176,0.00012776,0.0060798
248,0.0039555,9.3131e-07,1.8922e-06,2.1795e-06,0.00058783,0.00082836,0.00011745,0.0051903
249,0.0038698,9.358e-07,1.8113e-06,2.2059e-06,0.00052187,0.00090538,0.00011044,0.0044721
250,0.0039678,9.4632e-07,1.7539e-06,2.2272e-06,0.00046715,0.00096903,0.00010578,0.0038659
251,0.0041343,9.5291e-07,1.7129e-06,2.2394e-06,0.00041839,0.0010428,0.00010177,0.0033307
252,0.0042911,9.5945e-07,1.6875e-06,2.2503e-06,0.0003829,0.001096,9.9375e-05,0.0028437
253,0.0044493,9.6941e-07,1.6739e-06,2.2637e-06,0.00035477,0.0011173,9.6973e-05,0.0024046
254,0.0046013,9.7959e-07,1.6805e-06,2.2692e-06,0.00033487,0.0011202,9.6306e-05,0.0020136
255,0.0047315,9.8655e-07,1.6902e-06,2.2704e-06,0.0003172,0.0011078,9.3618e-05,0.0016728
256,0.0048349,9.8809e-07,1.7017e-06,2.269e-06,0.00030064,0.0010813,9.1717e-05,0.0013927
257,0.0048924,9.8264e-07,1.7066e-06,2.2499e-06,0.00028459,0.0010452,8.8128e-05,0.0011713
258,0.0048899,9.7431e-07,1.704e-06,2.2164e-06,0.00026952,0.0010079,8.5383e-05,0.00099321
259,0.0048536,9.5885e-07,1.6978e-06,2.179e-06,0.00025587,0.00096793,8.1755e-05,0.00085314
260,0.0047817,9.3801e-07,1.683e-06,2.1366e-06,0.00024262,0.00093602,7.8671e-05,0.00074233
261,0.0046983,9.1683e-07,1.6662e-06,2.1038e-06,0.0002303,0.00090098,7.572e-05,0.00065798
262,0.0046168,8.9409e-07,1.65e-06,2.0718e-06,0.00021931,0.00087344,7.4213e-05,0.00059318
263,0.0045295,8.72e-07,1.6359e-06,2.0452e-06,0.00020939,0.00084738,7.08e-05,0.00054343
264,0.0044492,8.5223e-07,1.6233e-06,2.0215e-06,0.00020061,0.00082419,6.9998e-05,0.00050388
265,0.0043759,8.3634e-07,1.6106e-06,2.0008e-06,0.00019308,0.00081196,6.7509e-05,0.00047089
266,0.0042882,8.2212e-07,1.5992e-06,1.9807e-06,0.00018651,0.0008022,6.7292e-05,0.00044259
267,0.0042262,8.135e-07,1.5885e-06,1.9635e-06,0.0001822,0.00078786,6.582e-05,0.00042078
268,0.0041867,8.0617e-07,1.58e-06,1.9434e-06,0.00017934,0.00078602,6.6102e-05,0.00040346
269,0.0041374,8.0161e-07,1.5739e-06,1.923e-06,0.00017775,0.00078362,6.3644e-05,0.00039222
270,0.0040696,7.9786e-07,1.5695e-06,1.9049e-06,0.00017745,0.00078257,6.2633e-05,0.00038177
271,0.0040177,7.9426e-07,1.5676e-06,1.8874e-06,0.00017751,0.00078411,6.3836e-05,0.00037227
272,0.0039769,7.8988e-07,1.5674e-06,1.8726e-06,0.00017918,0.00079218,7.0141e-05,0.00036749
273,0.0039474,7.8741e-07,1.5689e-06,1.8624e-06,0.00018344,0.00080007,7.0555e-05,0.00036681
274,0.0038943,7.875e-07,1.5728e-06,1.8582e-06,0.00018686,0.00080478,6.2849e-05,0.00036397
275,0.0038377,7.8783e-07,1.5782e-06,1.8515e-06,0.00018801,0.00081452,5.6383e-05,0.00036419
276,0.003794,7.8785e-07,1.5789e-06,1.8449e-06,0.00018861,0.00082741,5.4626e-05,0.00036678
277,0.0037502,7.8629e-07,1.5767e-06,1.8369e-06,0.00018996,0.0008432,5.3089e-05,0.00037267
278,0.0037051,7.8486e-07,1.5756e-06,1.8165e-06,0.00018576,0.0008524,5.0761e-05,0.00037446
279,0.0036475,7.8196e-07,1.5754e-06,1.8172e-06,0.00019159,0.00087673,5.0131e-05,0.00038159
280,0.0036366,7.8349e-07,1.5745e-06,1.8105e-06,0.00019462,0.00090117,5.1074e-05,0.00038616
281,0.0035976,7.8233e-07,1.5723e-06,1.7996e-06,0.00019598,0.00091584,4.9792e-05,0.00039108
282,0.003584,7.8171e-07,1.5726e-06,1.7882e-06,0.00019814,0.00093069,4.7463e-05,0.00039742
283,0.0035581,7.8274e-07,1.576e-06,1.7825e-06,0.00019957,0.00095413,4.6595e-05,0.00040214
284,0.0035431,7.8329e-07,1.5803e-06,1.7819e-06,0.00020067,0.00098145,4.5471e-05,0.0004066
285,0.0035389,7.8235e-07,1.582e-06,1.7814e-06,0.00020228,0.0010067,4.6504e-05,0.00041234
286,0.0035307,7.848e-07,1.5878e-06,1.7839e-06,0.00020487,0.0010292,4.4705e-05,0.00041885
287,0.0035224,7.8807e-07,1.5969e-06,1.7981e-06,0.0002062,0.0010611,4.3868e-05,0.00042476
288,0.0034917,7.9342e-07,1.61e-06,1.8208e-06,0.00020871,0.0011085,4.4208e-05,0.00042919
289,0.0034862,7.9877e-07,1.623e-06,1.8469e-06,0.00021217,0.0011592,4.5434e-05,0.00043021
290,0.0034682,8.0718e-07,1.6395e-06,1.8813e-06,0.0002158,0.0012289,4.5924e-05,0.00043096
291,0.0034967,8.1511e-07,1.6548e-06,1.9148e-06,0.00021954,0.0013047,4.7457e-05,0.00043303
292,0.0035342,8.2133e-07,1.6686e-06,1.9424e-06,0.00022422,0.0013666,4.7141e-05,0.000437
293,0.0035703,8.2881e-07,1.6849e-06,1.9687e-06,0.00022816,0.0014193,4.3636e-05,0.00044488
294,0.0035946,8.3614e-07,1.6998e-06,1.9889e-06,0.00023193,0.0014578,4.1579e-05,0.00045294
295,0.0036327,8.4082e-07,1.7129e-06,1.989e-06,0.00023629,0.0014537,4.0134e-05,0.00046066
296,0.0037022,8.4465e-07,1.7273e-06,1.9495e-06,0.00023564,0.0014036,3.7899e-05,0.00046447
297,0.0037066,8.416e-07,1.7328e-06,1.8954e-06,0.00023826,0.001322,3.631e-05,0.00047046
298,0.0037198,8.4e-07,1.7368e-06,1.8423e-06,0.00024219,0.0012146,3.5449e-05,0.00047688
299,0.003711,8.394e-07,1.7402e-06,1.7932e-06,0.00024715,0.0010919,3.5595e-05,0.00048601
300,0.0037042,8.3574e-07,1.7339e-06,1.7544e-06,0.00025463,0.00096084,3.4447e-05,0.00049487
301,0.0037142,8.3006e-07,1.7241e-06,1.7233e-06,0.00026017,0.00083776,3.3279e-05,0.00050677
302,0.0037309,8.2071e-07,1.7103e-06,1.6959e-06,0.00026653,0.00072916,3.2737e-05,0.00052195
303,0.0037119,8.07e-07,1.6838e-06,1.6677e-06,0.00027162,0.00064105,3.2169e-05,0.00054159
304,0.0037005,7.9235e-07,1.6559e-06,1.6395e-06,0.00027676,0.00057021,3.2079e-05,0.00056409
305,0.0036662,7.782e-07,1.6242e-06,1.6074e-06,0.0002834,0.0005096,2.8491e-05,0.00059054
306,0.0036782,7.656e-07,1.5896e-06,1.5812e-06,0.00028798,0.00046469,2.0949e-05,0.00061996
307,0.0036794,7.5549e-07,1.5535e-06,1.5758e-06,0.00028915,0.00042664,1.7931e-05,0.00064832
308,0.0037524,7.5954e-07,1.5203e-06,1.6522e-06,0.00028842,0.00039634,1.7025e-05,0.00068132
309,0.0039418,8.0239e-07,1.5291e-06,1.8404e-06,0.00029226,0.00039341,1.6537e-05,0.00071595
310,0.0043117,8.8653e-07,1.647e-06,2.1249e-06,0.0003008,0.0003828,1.7968e-05,0.00074896
311,0.0047272,1.0111e-06,1.8214e-06,2.4405e-06,0.00031429,0.00040933,1.6668e-05,0.00076944
312,0.0051747,1.134e-06,1.9926e-06,2.7178e-06,0.00032284,0.00043222,1.7906e-05,0.0007771
313,0.0055888,1.224e-06,2.135e-06,2.9175e-06,0.00032537,0.00044529,1.6778e-05,0.00076705
314,0.0059392,1.2978e-06,2.2249e-06,3.0406e-06,0.00031874,0.0004447,1.7402e-05,0.00074076
315,0.0061713,1.336e-06,2.2669e-06,3.092e-06,0.00030574,0.00042828,1.6354e-05,0.00070584
316,0.0063218,1.3332e-06,2.2703e-06,3.1022e-06,0.00028438,0.00041962,1.7256e-05,0.00066071
317,0.0063621,1.2937e-06,2.2388e-06,3.0811e-06,0.0002641,0.00040468,1.6545e-05,0.00061779
318,0.0063318,1.2494e-06,2.1927e-06,3.0445e-06,0.00024633,0.00039008,1.6528e-05,0.00058293
319,0.0062331,1.2008e-06,2.1464e-06,2.9971e-06,0.00023026,0.00037138,1.6793e-05,0.00055187
320,0.0060522,1.1453e-06,2.1053e-06,2.9395e-06,0.00021961,0.00035573,1.6645e-05,0.00052723
321,0.0058553,1.1075e-06,2.0661e-06,2.8753e-06,0.00020526,0.00034038,1.7164e-05,0.00051105
