iteration,continuity,x_velocity,y_velocity,energy,k,omega,intermittency,retheta
386,0.0016836,2.8563e-07,6.4924e-07,7.6042e-07,9.9724e-05,0.00019945,1.5009e-05,0.00010062
387,0.0016651,2.8484e-07,6.4635e-07,7.3481e-07,0.010785,0.00031685,7.3574e-05,0.016153
388,0.0018547,5.5205e-07,1.1497e-06,8.9101e-07,0.0078253,0.00028608,6.5195e-05,0.018253
389,0.0023497,6.1572e-07,1.3445e-06,1.0507e-06,0.0061816,0.00023239,6.2899e-05,0.017742
390,0.0028865,6.7271e-07,1.4712e-06,1.1901e-06,0.005073,0.00021473,5.9174e-05,0.016708
391,0.0033066,7.04e-07,1.5561e-06,1.3207e-06,0.0041892,0.00021166,5.9418e-05,0.015613
392,0.003554,7.1285e-07,1.5915e-06,1.4179e-06,0.003593,0.00021983,5.838e-05,0.014549
393,0.0036254,7.0042e-07,1.5885e-06,1.4642e-06,0.0030811,0.00022125,5.7999e-05,0.01357
394,0.0035643,6.8608e-07,1.5574e-06,1.4826e-06,0.0026855,0.00022567,5.4851e-05,0.012692
395,0.0034416,6.5914e-07,1.5177e-06,1.4714e-06,0.0023397,0.00022826,5.4464e-05,0.011885
396,0.0033051,6.2944e-07,1.4614e-06,1.4624e-06,0.0020612,0.0002303,5.2881e-05,0.011127
397,0.0031148,6.0098e-07,1.409e-06,1.4583e-06,0.001844,0.00022994,5.1696e-05,0.010415
398,0.0029295,5.7482e-07,1.3711e-06,1.4637e-06,0.0016726,0.00023724,4.9975e-05,0.0097627
399,0.0027774,5.5373e-07,1.3349e-06,1.4771e-06,0.0015371,0.000242,4.8556e-05,0.0091623
400,0.0026845,5.3952e-07,1.3046e-06,1.4933e-06,0.001422,0.00024566,4.7891e-05,0.0086158
401,0.0026121,5.2723e-07,1.2719e-06,1.5102e-06,0.0013224,0.00024522,4.7067e-05,0.0081097
402,0.0025511,5.1701e-07,1.2412e-06,1.524e-06,0.0012412,0.00024482,4.762e-05,0.0076291
403,0.0025002,5.0761e-07,1.2149e-06,1.5243e-06,0.0011685,0.00029912,4.6555e-05,0.0071558
404,0.0024306,4.9833e-07,1.1933e-06,1.5235e-06,0.0011028,0.00024671,4.8871e-05,0.0066766
405,0.0023761,4.908e-07,1.1736e-06,1.5041e-06,0.0010401,0.00028712,4.8936e-05,0.0061879
406,0.0023185,4.8658e-07,1.1593e-06,1.4747e-06,0.00097982,0.00028002,5.2948e-05,0.0057008
407,0.0022723,4.8297e-07,1.1459e-06,1.4405e-06,0.00092297,0.00027178,5.1403e-05,0.0052204
408,0.002209,4.7895e-07,1.141e-06,1.4049e-06,0.0008687,0.00026426,5.5134e-05,0.0047607
409,0.0021732,4.7491e-07,1.1376e-06,1.3687e-06,0.00081847,0.00025838,5.5771e-05,0.0043246
410,0.0021256,4.7115e-07,1.1359e-06,1.33e-06,0.00077042,0.00025589,5.8068e-05,0.0039209
411,0.0020907,4.681e-07,1.1346e-06,1.2922e-06,0.00072823,0.00025615,5.9491e-05,0.0035511
412,0.0020543,4.6405e-07,1.1292e-06,1.2512e-06,0.00068787,0.0002555,6.1158e-05,0.0032136
413,0.0020257,4.6047e-07,1.125e-06,1.2094e-06,0.00065353,0.00025377,6.2573e-05,0.0029089
