point_id,x_cm,y_cm,surface
1,0.1097,11.6548,suction
2,0.3894,12.189,suction
3,0.7658,12.6764,suction
4,1.2723,13.0233,suction
5,1.8743,13.1376,suction
6,2.4707,12.9939,suction
7,2.9835,12.6538,suction
8,3.3985,12.1976,suction
9,3.7376,11.6817,suction
10,4.0272,11.1364,suction
11,4.2885,10.5766,suction
12,4.5326,10.0094,suction
13,4.7648,9.4369,suction
14,4.987,8.8605,suction
15,5.2019,8.2814,suction
16,5.411,7.7003,suction
17,5.6157,7.1176,suction
18,5.8171,6.5336,suction
19,6.016,5.9487,suction
20,6.2126,5.3632,suction
21,6.4074,4.7767,suction
22,6.5997,4.1897,suction
23,6.7894,3.6015,suction
24,6.9756,3.0122,suction
25,7.1575,2.4221,suction
26,7.3335,1.8301,suction
27,7.5024,1.2357,suction
28,7.6624,0.6391,suction
29,7.8115,0.04115,suction
30,7.8161,-0.0053,suction
31,7.8082,-0.0516,pressure
32,7.7879,-0.0935,pressure
33,7.7572,-0.1288,pressure
34,7.718,-0.1542,pressure
35,7.6736,-0.1681,pressure
36,7.6269,-0.1699,pressure
37,7.5816,-0.1588,pressure
38,7.5408,-0.1356,pressure
39,7.5077,-0.1026,pressure
40,7.4849,-0.0617,pressure
41,7.3188,0.3559,pressure
42,7.1483,0.7737,pressure
43,6.9736,1.1895,pressure
44,6.795,1.6035,pressure
45,6.6116,2.0155,pressure
46,6.4237,2.4254,pressure
47,6.2309,2.8329,pressure
48,6.0328,3.238,pressure
49,5.8296,3.6406,pressure
50,5.6203,4.0401,pressure
51,5.4051,4.4364,pressure
52,5.1837,4.829,pressure
53,4.9548,5.2177,pressure
54,4.7191,5.602,pressure
55,4.476,5.9817,pressure
56,4.2248,6.3564,pressure
57,3.9654,6.7249,pressure
58,3.6975,7.0874,pressure
59,3.4204,7.443,pressure
60,3.1339,7.7909,pressure
61,2.8374,8.1308,pressure
62,2.5314,8.4615,pressure
63,2.2149,8.7826,pressure
64,1.8885,9.0935,pressure
65,1.5519,9.3932,pressure
66,1.2052,9.6815,pressure
67,0.8494,9.9578,pressure
68,0.4999,10.2116,pressure
69,0.3848,10.3035,pressure
70,0.2822,10.4094,pressure
71,0.1938,10.5273,pressure
72,0.1212,10.6556,pressure
73,0.065,10.792,pressure
74,0.0264,10.9342,pressure
75,0.0064,11.0802,pressure
76,0.0046,11.2278,pressure
77,0.0216,11.3741,pressure
78,0.0569,11.5171,pressure
79,0.1097,11.6548,suction
