run,code,surface,s_over_arc,x_over_axial_chord,T_norm,T_wall_K,h_norm,h_W_m2K,source,report_page,qc_status,notes
145,4512,pressure,0.8627,0.8656,0.8385,680.024,0.5425,615.738,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.8341,0.8451,0.8212,665.993,0.7131,809.368,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.7777,0.8034,0.8278,671.346,0.6379,724.017,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.7485,0.781,0.8053,653.098,0.6596,748.646,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.7194,0.7582,0.788,639.068,0.5628,638.778,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.6918,0.736,0.7978,647.016,0.6577,746.489,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.6627,0.7121,0.7902,640.852,0.6422,728.897,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.6337,0.6876,0.7677,622.605,0.641,727.535,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.6037,0.6616,0.7592,615.711,0.6558,744.333,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.5765,0.6374,0.7674,622.361,0.6219,705.856,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.5476,0.611,0.7658,621.064,0.5661,642.524,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.5194,0.5845,0.7579,614.657,0.5692,646.042,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.4906,0.5567,0.754,611.494,0.5334,605.409,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.4343,0.5,0.7488,607.277,0.5132,582.482,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.4055,0.4697,0.7412,601.113,0.4657,528.57,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.3766,0.4385,0.7386,599.005,0.4389,498.152,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.3479,0.4066,0.7388,599.167,0.427,484.645,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.3193,0.3738,0.7383,598.761,0.4037,458.2,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.2902,0.3394,0.7382,598.68,0.3948,448.098,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.2617,0.3047,0.7395,599.735,0.3886,441.061,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.2327,0.2685,0.7419,601.681,0.4014,455.589,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.2045,0.2323,0.7428,602.411,0.3757,426.42,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.1812,0.2016,0.7448,604.033,0.4002,454.227,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.1585,0.1711,0.7464,605.33,0.3838,435.613,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.1361,0.1405,0.7493,607.682,0.3932,446.282,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.1135,0.109,0.7544,611.818,0.4127,468.415,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.09,0.0757,0.7628,618.631,0.4036,458.086,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.0681,0.0454,0.7751,628.606,0.489,555.015,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.0457,0.0211,0.787,638.257,0.6391,725.378,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.0222,0.0051,0.7914,641.825,0.5646,640.821,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,pressure,0.0001,0.0,0.7944,644.258,0.6044,685.994,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.0184,0.0059,0.794,643.934,0.5799,658.186,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.036,0.0213,0.7926,642.799,0.5722,649.447,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.0534,0.0395,0.7926,642.799,0.5606,636.281,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.0878,0.0835,0.7973,646.61,0.5665,642.978,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.1057,0.1125,0.7996,648.476,0.5696,646.496,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.1237,0.1463,0.7992,648.151,0.5172,587.022,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.1412,0.1831,0.7997,648.557,0.5156,585.206,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.1592,0.2233,0.7992,648.151,0.4865,552.178,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.1765,0.2626,0.8001,648.881,0.5163,586.0,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.1939,0.301,0.8033,651.476,0.6215,705.402,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.2116,0.3372,0.8064,653.99,0.7236,821.286,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.2299,0.3714,0.8079,655.207,0.7511,852.498,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.2477,0.4012,0.808,655.288,0.7326,831.501,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.2652,0.4274,0.8089,656.018,0.7227,820.264,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.2829,0.4512,0.8114,658.045,0.8087,917.874,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.3009,0.4732,0.8095,656.505,0.7622,865.097,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.3184,0.4928,0.8087,655.856,0.7693,873.156,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.3356,0.5109,0.8075,654.883,0.7781,883.144,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.3533,0.5284,0.8067,654.234,0.8073,916.286,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.3709,0.5452,0.8047,652.612,0.7371,836.608,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.3884,0.5613,0.8039,651.963,0.8248,936.148,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.4058,0.5769,0.8023,650.665,0.8514,966.339,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.4236,0.5923,0.7998,648.638,0.8529,968.042,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.4412,0.6072,0.7968,646.205,0.8332,945.682,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.4585,0.6216,0.7954,645.069,0.854,969.29,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.4758,0.6357,0.7925,642.717,0.8333,945.796,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.4936,0.65,0.7903,640.933,0.8519,966.906,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.5109,0.6636,0.7886,639.555,0.889,1009.015,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.5285,0.6772,0.7868,638.095,0.8706,988.131,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.5673,0.7068,0.7897,640.447,0.8413,954.876,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.5891,0.7232,0.7889,639.798,0.8669,983.932,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.6099,0.7387,0.786,637.446,0.8538,969.063,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.631,0.7542,0.7884,639.392,0.8612,977.462,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.6527,0.7701,0.7915,641.906,0.8578,973.603,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.6736,0.7853,0.7882,639.23,0.9394,1066.219,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.6949,0.8006,0.7792,631.931,0.919,1043.065,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.7169,0.8164,0.7847,636.392,0.7537,855.45,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.738,0.8315,0.8011,649.692,0.787,893.245,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.7598,0.8468,0.8069,654.396,0.7605,863.167,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.781,0.8617,0.8031,651.314,0.8896,1009.696,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.8016,0.876,0.8098,656.748,0.6763,767.6,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.8231,0.8907,0.8294,672.643,0.6125,695.188,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.844,0.9049,0.8371,678.888,0.7695,873.382,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
145,4512,suction,0.8662,0.9196,0.8284,671.832,0.6555,743.992,NASA-CR-168015 Appendix A,180,second_visual_QC_pass,Appendix A p. 180 transcription; dimensionalized with T_wall = T_norm × 811 K and h = h_norm × 1135 W/(m²·K).
