run,code,surface,s_over_arc,x_over_axial_chord,PS_over_PT,source,report_page,notes
145,4512,pressure,0.0001,0.0,0.9973,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.0525,0.0276,0.9874,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.1027,0.0937,0.9891,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.1527,0.1632,0.9858,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.2029,0.2302,0.9848,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.2894,0.3384,0.9806,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.3751,0.4369,0.972,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.4603,0.5265,0.9598,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.6422,0.6949,0.9101,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.7179,0.757,0.8584,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.7414,0.7755,0.8387,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.8073,0.8255,0.7891,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.8894,0.8843,0.6959,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,pressure,0.9745,0.9416,0.6473,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.0393,0.0246,0.9791,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.0781,0.0697,0.9399,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.1176,0.1342,0.8563,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.1569,0.2181,0.671,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.1962,0.3058,0.6091,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.2358,0.3816,0.549,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.275,0.4409,0.5418,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.3447,0.52,0.5461,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.4145,0.5844,0.5281,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.5534,0.6963,0.5966,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.6233,0.7485,0.5928,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.8166,0.8863,0.5618,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.902,0.9427,0.5738,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
145,4512,suction,0.9505,0.9723,0.5671,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180."
