hole_no,Cr,source,doi,source_scope
1,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
2,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
3,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
4,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
5,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
6,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
7,1.118,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
8,1.056,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
9,1.056,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
10,1.025,"Trompoukis et al., International Journal of Turbomachinery, Propulsion and Power 6(2), article 20 (2021), Section 5; the correlation and C_r range are documented there with C_r attributed to Hylton et al. (1983)",10.3390/ijtpp6020020,"Repository-archived per-hole C_r assignment used by the released Fluent states. Trompoukis et al. supports the correlation and an approximately 1.03-1.12 C_r range but does not tabulate the ten individual per-hole assignments; this row is therefore not presented as a direct transcription from that paper."
