run,code,hole_no,boundary_name,T_coolant_K,Re_D,diameter_m,Cr,cp_J_kgK,mu_Pa_s,k_air_W_mK,Pr,Nu_D,h_W_m2K,correlation,property_model,property_pressure_Pa,CoolProp_version,source,report_page,notes
145,4512,1,cooling_hole_01,395.38,99640,0.0063,1.118,1013.600437,2.285854291e-05,0.03314078009,0.6991214153,205.0632151,1078.723002,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,2,cooling_hole_02,396.82,102630,0.0063,1.118,1013.767988,2.292001828e-05,0.03323828966,0.6990606631,209.9623282,1107.744235,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,3,cooling_hole_03,378.01,103100,0.0063,1.118,1011.715272,2.21089401e-05,0.03195494401,0.6999840883,210.8703411,1069.579356,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,4,cooling_hole_04,384.61,105470,0.0063,1.118,1012.401863,2.239553941e-05,0.03240764307,0.6996277319,214.6847269,1104.353334,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,5,cooling_hole_05,366.27,113580,0.0063,1.118,1010.584676,2.159358504e-05,0.03114305112,0.70070675,227.9681246,1126.924279,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,6,cooling_hole_06,420.64,103230,0.0063,1.118,1016.784557,2.392275307e-05,0.03483432586,0.6982849611,210.8266804,1165.715125,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,7,cooling_hole_07,381.68,107100,0.0063,1.118,1012.092544,2.226857943e-05,0.03220699801,0.699781557,217.3588398,1111.186622,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,8,cooling_hole_08,407.57,69310,0.0031,1.056,1015.072583,2.337581988e-05,0.03396248621,0.69865774,144.8290078,1586.694574,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,9,cooling_hole_09,462.78,39060,0.0031,1.056,1023.194336,2.56356561e-05,0.03758494,0.6978927764,91.48854942,1109.22311,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
145,4512,10,cooling_hole_10,506.46,30460,0.00198,1.025,1031.111882,2.733745395e-05,0.04034805939,0.6986203055,72.82006589,1483.913305,Nu_D = Cr * 0.022 * Pr^0.5 * Re_D^0.8,CoolProp Air at T_coolant and 101325 Pa,101325,8.0.0,NASA-CR-168015: Appendix A Run 145 coolant data; Figure 7 passage geometry and C_r,181,NASA p. 181 supplies T_coolant and Re_D; Figure 7 supplies passage diameter and C_r. scripts/preprocess/build_internal_convection_inputs.py combines them with CoolProp air properties.
