comparison,quantity,surface,region,mae,rmse,maximum_absolute_difference,normalized_mae_percent
coarse_vs_fine,ps_over_pt,pressure,full_surface,0.0007508201253238218,0.0026610474742948063,0.029550591835549533,0.1542663582975661
medium_vs_fine,ps_over_pt,pressure,full_surface,0.0007844282839856298,0.0028681739133659644,0.0431216338493941,0.16117161838713534
coarse_vs_fine,wall_temperature_K,pressure,full_surface,0.3706088681021062,0.5091586182070699,1.7175830360000646,0.35209849068292176
medium_vs_fine,wall_temperature_K,pressure,full_surface,0.191109262309125,0.33009700623285126,1.4661493360000577,0.1815641464791681
coarse_vs_fine,heat_flux_into_vane_W_m2,pressure,full_surface,855.6986547121065,1863.3011159680216,17781.7321052,0.6038673737904893
medium_vs_fine,heat_flux_into_vane_W_m2,pressure,full_surface,610.718666810268,1710.0201473358238,15773.21723542457,0.4309847578007741
coarse_vs_fine,htc_nasa_W_m2K,pressure,full_surface,6.175877365337181,16.663874520858062,187.96085670879606,0.5563291406561061
medium_vs_fine,htc_nasa_W_m2K,pressure,full_surface,4.665836148367826,16.37885663689638,166.64013179247138,0.42030313448783163
coarse_vs_fine,wall_yplus,pressure,full_surface,0.002328473974287155,0.009759579511252944,0.14009372138164294,0.5608295941678504
medium_vs_fine,wall_yplus,pressure,full_surface,0.001683713125517768,0.008109716136757403,0.11334631272137746,0.4055343367830838
coarse_vs_fine,ps_over_pt,pressure,core_1_to_99_percent,0.0007417590724148203,0.002678789666039431,0.029550591835549533,0.15240463990794467
medium_vs_fine,ps_over_pt,pressure,core_1_to_99_percent,0.0007819070517249109,0.002890535343442617,0.0431216338493941,0.16065359641867025
coarse_vs_fine,wall_temperature_K,pressure,core_1_to_99_percent,0.3666278060791034,0.5023724344106286,1.2877876291256598,0.34831626621324663
medium_vs_fine,wall_temperature_K,pressure,core_1_to_99_percent,0.1842244905992289,0.31805919356902446,1.281914958974994,0.17502324059052912
coarse_vs_fine,heat_flux_into_vane_W_m2,pressure,core_1_to_99_percent,754.0615284365659,1474.753856013825,10736.219794002616,0.5321419548177643
medium_vs_fine,heat_flux_into_vane_W_m2,pressure,core_1_to_99_percent,530.9815041510767,1473.6792331057063,15773.21723542457,0.3747141644752407
coarse_vs_fine,htc_nasa_W_m2K,pressure,core_1_to_99_percent,5.132242610275825,11.874299104541425,114.56301334473102,0.462317489825596
medium_vs_fine,htc_nasa_W_m2K,pressure,core_1_to_99_percent,3.8788701991419123,13.752735857357148,166.51517831584266,0.3494124635176243
coarse_vs_fine,wall_yplus,pressure,core_1_to_99_percent,0.0021714478168500095,0.009632219462353594,0.14009372138164294,0.5230087221625398
medium_vs_fine,wall_yplus,pressure,core_1_to_99_percent,0.001605757181505321,0.008117024594734313,0.11334631272137746,0.38675809065524946
coarse_vs_fine,ps_over_pt,pressure,trailing_edge_last_5_percent,0.008004586286054792,0.011093926680009221,0.029550591835549533,9.183328047524714
medium_vs_fine,ps_over_pt,pressure,trailing_edge_last_5_percent,0.007636932259911655,0.011959092625262869,0.0431216338493941,8.7615339148351
coarse_vs_fine,wall_temperature_K,pressure,trailing_edge_last_5_percent,1.0273853328738176,1.0464919974734546,1.7175830360000646,5.361322781557613
