model,surface,quantity,units,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_experimental_htc_interval_percent
SST,pressure,pressure ratio,-,14,-0.00353162929383025,0.007100152561226742,0.01151519186703086,0.036386097010586815,0.9264972461332774,
SST,suction,pressure ratio,-,14,-0.014068945508103068,0.023327994794788736,0.028165591826651175,0.05359890421173774,3.9800378104337555,
Transition SST,pressure,pressure ratio,-,14,-0.0021054144175523854,0.006201084590902762,0.008861799195460185,0.02369932552838072,0.7930606400090954,
Transition SST,suction,pressure ratio,-,14,-0.013398972165366745,0.02356898607967708,0.0295762574055096,0.061315089656864386,4.0285651511788405,
SST,pressure,wall temperature,K,31,8.887101326203554,8.887101326203554,9.748900898014455,14.238473401028273,1.448002327936268,
SST,pressure,heat-transfer coefficient,W/m2/K,31,-3.4050082929379624,46.953933918667005,62.40589346176931,192.01595506020192,7.795058348827554,58.06451612903226
SST,suction,wall temperature,K,44,12.998667506140617,12.998667506140617,15.021754057164113,31.06476445529836,2.0045331076699795,
SST,suction,heat-transfer coefficient,W/m2/K,44,50.90246752430156,84.31952618763533,118.6156844894035,332.9352359729653,11.534748460220246,63.63636363636363
Transition SST,pressure,wall temperature,K,31,-39.36568013032755,39.36568013032755,40.593333215237514,49.11441967749465,6.347977157758771,
Transition SST,pressure,heat-transfer coefficient,W/m2/K,31,-294.65776586899807,294.65776586899807,350.7776874164668,641.0022477855783,47.44294320666297,9.67741935483871
Transition SST,suction,wall temperature,K,44,-41.72347795370152,41.72347795370152,52.35158816125819,95.64355949738467,6.407688706172484,
Transition SST,suction,heat-transfer coefficient,W/m2/K,44,-242.92609461448922,281.01023076182787,389.8623413451458,744.6706164348797,32.23186689683411,31.818181818181817
