run,code,surface,s_over_arc,x_over_axial_chord,PS_over_PT,source,report_page,notes,model,cfd_ps_over_pt,error
145,4512,pressure,0.0001,0.0,0.9973,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9974363883952452,0.00013638839524521273
145,4512,pressure,0.0525,0.0276,0.9874,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9954671780398808,0.008067178039880774
145,4512,pressure,0.1027,0.0937,0.9891,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9911883518594344,0.0020883518594344563
145,4512,pressure,0.1527,0.1632,0.9858,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9892105994961029,0.003410599496102895
145,4512,pressure,0.2029,0.2302,0.9848,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9867792821345003,0.001979282134500271
145,4512,pressure,0.2894,0.3384,0.9806,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9812145206500438,0.0006145206500437483
145,4512,pressure,0.3751,0.4369,0.972,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.972849630366306,0.0008496303663060312
145,4512,pressure,0.4603,0.5265,0.9598,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9596282435359621,-0.00017175646403788658
145,4512,pressure,0.6422,0.6949,0.9101,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.8979213103177411,-0.01217868968225888
145,4512,pressure,0.7179,0.757,0.8584,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.850555987843464,-0.007844012156536073
145,4512,pressure,0.7414,0.7755,0.8387,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.8326009164841773,-0.0060990835158226675
145,4512,pressure,0.8073,0.8255,0.7891,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.7773571658438434,-0.011742834156156623
145,4512,pressure,0.8894,0.8843,0.6959,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.703733711930262,0.007833711930262055
145,4512,pressure,0.9745,0.9416,0.6473,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.6109139029894132,-0.036386097010586815
145,4512,suction,0.0393,0.0246,0.9791,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9753474453838217,-0.003752554616178294
145,4512,suction,0.0781,0.0697,0.9399,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.9358473561014927,-0.0040526438985072355
145,4512,suction,0.1176,0.1342,0.8563,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.8399349437028452,-0.01636505629715479
145,4512,suction,0.1569,0.2181,0.671,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.6950463488711373,0.024046348871137213
145,4512,suction,0.1962,0.3058,0.6091,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5680290426521382,-0.041070957347861814
145,4512,suction,0.2358,0.3816,0.549,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5085123498990298,-0.04048765010097022
145,4512,suction,0.275,0.4409,0.5418,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.508301684481259,-0.03349831551874094
145,4512,suction,0.3447,0.52,0.5461,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5428155450118588,-0.0032844549881412277
145,4512,suction,0.4145,0.5844,0.5281,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5688669961356625,0.04076699613566248
145,4512,suction,0.5534,0.6963,0.5966,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5884820006425454,-0.008117999357454608
145,4512,suction,0.6233,0.7485,0.5928,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5795703332827371,-0.013229666717262889
145,4512,suction,0.8166,0.8863,0.5618,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5371102162681414,-0.024689783731858594
145,4512,suction,0.902,0.9427,0.5738,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5202010957882622,-0.05359890421173774
145,4512,suction,0.9505,0.9723,0.5671,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",SST,0.5474694046656258,-0.01963059533437428
145,4512,pressure,0.0001,0.0,0.9973,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9974311414066368,0.0001311414066368366
145,4512,pressure,0.0525,0.0276,0.9874,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9954643980209599,0.008064398020959818
145,4512,pressure,0.1027,0.0937,0.9891,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9911843471797838,0.0020843471797837854
145,4512,pressure,0.1527,0.1632,0.9858,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9892214508458309,0.003421450845830898
145,4512,pressure,0.2029,0.2302,0.9848,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9867992192198668,0.001999219219866788
145,4512,pressure,0.2894,0.3384,0.9806,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9812564268321862,0.0006564268321861411
145,4512,pressure,0.3751,0.4369,0.972,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9729184021649221,0.0009184021649221163
145,4512,pressure,0.4603,0.5265,0.9598,NASA-CR-168015 Appendix A,180,"Manual transcription from NASA-CR-168015 Appendix A, p. 180.",Transition SST,0.9597326701024794,-6.732989752056273e-05
