case_id,hole_no,boundary_name,h_scale,T_shift_K,h_W_m2K,T_bulk_K
baseline,1,cooling_hole_01,1.000000,0,1078.723002,395.380000
baseline,2,cooling_hole_02,1.000000,0,1107.744235,396.820000
baseline,3,cooling_hole_03,1.000000,0,1069.579356,378.010000
baseline,4,cooling_hole_04,1.000000,0,1104.353334,384.610000
baseline,5,cooling_hole_05,1.000000,0,1126.924279,366.270000
baseline,6,cooling_hole_06,1.000000,0,1165.715125,420.640000
baseline,7,cooling_hole_07,1.000000,0,1111.186622,381.680000
baseline,8,cooling_hole_08,1.000000,0,1586.694574,407.570000
baseline,9,cooling_hole_09,1.000000,0,1109.223110,462.780000
baseline,10,cooling_hole_10,1.000000,0,1483.913305,506.460000
h_m10,1,cooling_hole_01,0.900000,0,970.850702,395.380000
h_m10,2,cooling_hole_02,0.900000,0,996.969811,396.820000
h_m10,3,cooling_hole_03,0.900000,0,962.621420,378.010000
h_m10,4,cooling_hole_04,0.900000,0,993.918001,384.610000
h_m10,5,cooling_hole_05,0.900000,0,1014.231851,366.270000
h_m10,6,cooling_hole_06,0.900000,0,1049.143613,420.640000
h_m10,7,cooling_hole_07,0.900000,0,1000.067960,381.680000
h_m10,8,cooling_hole_08,0.900000,0,1428.025117,407.570000
h_m10,9,cooling_hole_09,0.900000,0,998.300799,462.780000
h_m10,10,cooling_hole_10,0.900000,0,1335.521975,506.460000
h_m05,1,cooling_hole_01,0.950000,0,1024.786852,395.380000
h_m05,2,cooling_hole_02,0.950000,0,1052.357023,396.820000
h_m05,3,cooling_hole_03,0.950000,0,1016.100388,378.010000
h_m05,4,cooling_hole_04,0.950000,0,1049.135667,384.610000
h_m05,5,cooling_hole_05,0.950000,0,1070.578065,366.270000
h_m05,6,cooling_hole_06,0.950000,0,1107.429369,420.640000
h_m05,7,cooling_hole_07,0.950000,0,1055.627291,381.680000
h_m05,8,cooling_hole_08,0.950000,0,1507.359845,407.570000
h_m05,9,cooling_hole_09,0.950000,0,1053.761955,462.780000
h_m05,10,cooling_hole_10,0.950000,0,1409.717640,506.460000
h_p05,1,cooling_hole_01,1.050000,0,1132.659152,395.380000
h_p05,2,cooling_hole_02,1.050000,0,1163.131447,396.820000
h_p05,3,cooling_hole_03,1.050000,0,1123.058324,378.010000
h_p05,4,cooling_hole_04,1.050000,0,1159.571001,384.610000
h_p05,5,cooling_hole_05,1.050000,0,1183.270493,366.270000
h_p05,6,cooling_hole_06,1.050000,0,1224.000881,420.640000
h_p05,7,cooling_hole_07,1.050000,0,1166.745953,381.680000
h_p05,8,cooling_hole_08,1.050000,0,1666.029303,407.570000
h_p05,9,cooling_hole_09,1.050000,0,1164.684266,462.780000
h_p05,10,cooling_hole_10,1.050000,0,1558.108970,506.460000
h_p10,1,cooling_hole_01,1.100000,0,1186.595302,395.380000
h_p10,2,cooling_hole_02,1.100000,0,1218.518659,396.820000
h_p10,3,cooling_hole_03,1.100000,0,1176.537292,378.010000
h_p10,4,cooling_hole_04,1.100000,0,1214.788667,384.610000
h_p10,5,cooling_hole_05,1.100000,0,1239.616707,366.270000
h_p10,6,cooling_hole_06,1.100000,0,1282.286638,420.640000
h_p10,7,cooling_hole_07,1.100000,0,1222.305284,381.680000
h_p10,8,cooling_hole_08,1.100000,0,1745.364031,407.570000
h_p10,9,cooling_hole_09,1.100000,0,1220.145421,462.780000
h_p10,10,cooling_hole_10,1.100000,0,1632.304636,506.460000
t_m10,1,cooling_hole_01,1.000000,-10,1078.723002,385.380000
t_m10,2,cooling_hole_02,1.000000,-10,1107.744235,386.820000
t_m10,3,cooling_hole_03,1.000000,-10,1069.579356,368.010000
t_m10,4,cooling_hole_04,1.000000,-10,1104.353334,374.610000
t_m10,5,cooling_hole_05,1.000000,-10,1126.924279,356.270000
t_m10,6,cooling_hole_06,1.000000,-10,1165.715125,410.640000
t_m10,7,cooling_hole_07,1.000000,-10,1111.186622,371.680000
t_m10,8,cooling_hole_08,1.000000,-10,1586.694574,397.570000
t_m10,9,cooling_hole_09,1.000000,-10,1109.223110,452.780000
t_m10,10,cooling_hole_10,1.000000,-10,1483.913305,496.460000
t_m05,1,cooling_hole_01,1.000000,-5,1078.723002,390.380000
t_m05,2,cooling_hole_02,1.000000,-5,1107.744235,391.820000
t_m05,3,cooling_hole_03,1.000000,-5,1069.579356,373.010000
t_m05,4,cooling_hole_04,1.000000,-5,1104.353334,379.610000
t_m05,5,cooling_hole_05,1.000000,-5,1126.924279,361.270000
t_m05,6,cooling_hole_06,1.000000,-5,1165.715125,415.640000
t_m05,7,cooling_hole_07,1.000000,-5,1111.186622,376.680000
t_m05,8,cooling_hole_08,1.000000,-5,1586.694574,402.570000
t_m05,9,cooling_hole_09,1.000000,-5,1109.223110,457.780000
t_m05,10,cooling_hole_10,1.000000,-5,1483.913305,501.460000
t_p05,1,cooling_hole_01,1.000000,5,1078.723002,400.380000
t_p05,2,cooling_hole_02,1.000000,5,1107.744235,401.820000
t_p05,3,cooling_hole_03,1.000000,5,1069.579356,383.010000
t_p05,4,cooling_hole_04,1.000000,5,1104.353334,389.610000
t_p05,5,cooling_hole_05,1.000000,5,1126.924279,371.270000
t_p05,6,cooling_hole_06,1.000000,5,1165.715125,425.640000
t_p05,7,cooling_hole_07,1.000000,5,1111.186622,386.680000
t_p05,8,cooling_hole_08,1.000000,5,1586.694574,412.570000
t_p05,9,cooling_hole_09,1.000000,5,1109.223110,467.780000
t_p05,10,cooling_hole_10,1.000000,5,1483.913305,511.460000
t_p10,1,cooling_hole_01,1.000000,10,1078.723002,405.380000
t_p10,2,cooling_hole_02,1.000000,10,1107.744235,406.820000
t_p10,3,cooling_hole_03,1.000000,10,1069.579356,388.010000
t_p10,4,cooling_hole_04,1.000000,10,1104.353334,394.610000
t_p10,5,cooling_hole_05,1.000000,10,1126.924279,376.270000
t_p10,6,cooling_hole_06,1.000000,10,1165.715125,430.640000
t_p10,7,cooling_hole_07,1.000000,10,1111.186622,391.680000
t_p10,8,cooling_hole_08,1.000000,10,1586.694574,417.570000
t_p10,9,cooling_hole_09,1.000000,10,1109.223110,472.780000
t_p10,10,cooling_hole_10,1.000000,10,1483.913305,516.460000
