case,surface,quantity,points,mean_bias,mae,rmse,max_abs_error,mape_percent,inside_interval_percent
baseline,pressure,pressure ratio,14,-0.00353162929373,0.0071001525612,0.011515191867,0.0363860970103,0.926497246128,
baseline,suction,pressure ratio,14,-0.0140689455082,0.023327994795,0.0281655918269,0.0535989042117,3.98003781047,
baseline,pressure,wall temperature,31,8.88710132613,8.88710132613,9.74890089794,14.2384734007,1.44800232792,
baseline,pressure,heat-transfer coefficient,31,-3.40500829314,46.9539339184,62.4058934614,192.01595506,7.79505834879,58.064516129
baseline,suction,wall temperature,44,12.9986675061,12.9986675061,15.0217540571,31.0647644554,2.00453310766,
baseline,suction,heat-transfer coefficient,44,50.9024675244,84.3195261875,118.615684489,332.935235975,11.5347484602,63.6363636364
h_m10,pressure,pressure ratio,14,-0.00351672649148,0.00709367516002,0.011495043084,0.0363031528342,0.925566422035,
h_m10,suction,pressure ratio,14,-0.0140908504206,0.023368713084,0.0282297744424,0.0539174516831,3.98733325002,
h_m10,pressure,wall temperature,31,16.1468313262,16.1468313262,16.7372898526,21.977743543,2.61818191767,
h_m10,pressure,heat-transfer coefficient,31,-10.8035285446,47.3512252482,64.8699263545,201.516846031,7.69129008041,58.064516129
h_m10,suction,wall temperature,44,18.5768748338,18.5768748338,19.8672841235,35.692602586,2.86462823109,
h_m10,suction,heat-transfer coefficient,44,36.7937128834,78.2414327509,113.923909704,318.17865747,10.7517625334,65.9090909091
