quantity,h_central_derivative_per_hscale,h_change_per_plus_1pct,h_five_point_derivative_per_hscale,h_normalized_sensitivity,h_linear_r_squared,h_max_linear_residual_percent_of_span,T_central_derivative_per_K,T_change_per_plus_1K,T_five_point_derivative_per_K,T_normalized_sensitivity_using_mean_Tbulk,T_linear_r_squared,T_max_linear_residual_percent_of_span
wall_temperature_mean_K,-57.83141619,-0.5783141619,-57.7890600217,-0.088208848559,0.99901196197,1.34869145926,0.3048907486,0.3048907486,0.3048875153,0.190677624077,0.999998036146,0.072403356926
external_heat_rate_W_per_m,18414.800343,184.14800343,18403.7811923,0.514098401377,0.999228567716,1.19010178818,-95.60109022,-95.60109022,-95.597012255,-1.09433236451,0.999999875941,0.024560004808
outlet_mach,0.00018403787,1.8403787e-06,0.000183925178,0.000204192838,0.610956316211,47.1279405337,-9.64960099992e-07,-9.64960099992e-07,-9.68081916656e-07,-0.000438985144179,0.289590871909,58.8118467083
solid_temperature_min_K,-103.8467703,-1.038467703,-103.766559188,-0.187847663211,0.998867464265,1.44363726304,0.5903495614,0.5903495614,0.590348010883,0.43785388478,0.99999990128,0.013679915927
solid_temperature_mean_K,-66.78183692,-0.6678183692,-66.733561795,-0.104756637456,0.999016843327,1.34514167617,0.354789446,0.354789446,0.354786301233,0.228192329048,0.99999897588,0.055434413951
solid_temperature_max_K,-33.71277202,-0.3371277202,-33.6933947083,-0.047030312801,0.999332272902,1.10686428027,0.1811500236,0.1811500236,0.181133296017,0.103616509497,0.999997996365,0.079303336839
wall_temperature_mape_pressure_percent,-10.4058503557,-0.104058503557,-10.5584575397,-7.18634918955,0.989405245918,4.77670511374,0.05745255833,0.05745255833,0.0579996332596,16.268491022,0.998589504099,1.8112783628
wall_temperature_mape_suction_percent,-7.9369943258,-0.079369943258,-8.0382124656,-3.95952269158,0.994058367349,3.64131777935,0.042495855717,0.042495855717,0.0427551862832,8.69241604751,0.999663838368,0.910019271197
htc_mape_pressure_percent,1.6779626029,0.016779626029,1.76543475058,0.215259787396,0.972437244107,8.53596777394,-0.012192070769,-0.012192070769,-0.0124066896303,-0.641305942453,0.998161682094,2.32776702132
htc_mape_suction_percent,7.387742686,0.07387742686,7.37215766933,0.640477138404,0.999113700182,1.45069187496,-0.04082770742,-0.04082770742,-0.0408202855983,-1.45128940692,0.999940502569,0.337844373577
