case,quantity,unit,actual,ofat_additive_prediction,cross_deviation,cross_deviation_percent_of_actual
h_m05_t_m05,mean external wall temperature,K,657.0993184473117,657.0677471610002,0.031571286311532276,0.004804644507337708
h_m05_t_m05,external heat-transfer rate,W/m,35342.07943360362,35354.235504599994,-12.156070996374183,-0.03439546057048376
h_m05_t_m05,outlet Mach number,-,0.9013161380525989,0.901342878525,-2.6740472401032278e-05,-0.0029668249876018266
h_m05_t_m05,solid minimum temperature,K,555.28316829571,555.2178369129999,0.06533138271004191,0.011765417437477664
h_m05_t_m05,solid mean temperature,K,639.1915134278266,639.1533851380001,0.03812828982654537,0.005965080734891604
h_m05_t_m05,solid maximum temperature,K,717.6739258033728,717.6510818300001,0.022843973372687287,0.003183057451490309
h_m05_t_p05,mean external wall temperature,K,660.081560101482,660.1166546470001,-0.035094545518177256,-0.005316698365696168
h_m05_t_p05,external heat-transfer rate,W/m,34411.51417578488,34398.2246024,13.289573384885443,0.03861955424861023
h_m05_t_p05,outlet Mach number,-,0.9013069040106505,0.9013332289239999,-2.632491334941811e-05,-0.0029207491069109834
h_m05_t_p05,solid minimum temperature,K,561.0494145095129,561.121332527,-0.07191801748717808,-0.012818481871164784
h_m05_t_p05,solid mean temperature,K,642.6591598764228,642.701279598,-0.04211972157725086,-0.006553975140625098
h_m05_t_p05,solid maximum temperature,K,719.4364924427229,719.4625820660001,-0.026089623277243845,-0.003626396985877241
h_p05_t_m05,mean external wall temperature,K,651.2512888138147,651.284605542,-0.033316728185354805,-0.0051158022652112835
h_p05_t_m05,external heat-transfer rate,W/m,37208.63098889332,37195.71553889999,12.915449993328366,0.03471089811711588
h_p05_t_m05,outlet Mach number,-,0.9013348673338508,0.9013612823120001,-2.6414978149258417e-05,-0.00293065087201097
h_p05_t_m05,solid minimum temperature,K,544.7649754358358,544.833159883,-0.06818444716418526,-0.012516305239637465
h_p05_t_m05,solid mean temperature,K,632.4351563883757,632.4752014459999,-0.040045057624183755,-0.006331883548800102
h_p05_t_m05,solid maximum temperature,K,714.2539192986404,714.279804628,-0.025885329359539355,-0.0036241074301639645
h_p05_t_p05,mean external wall temperature,K,654.3635684318796,654.3335130280002,0.030055403879373443,0.004593074145524082
h_p05_t_p05,external heat-transfer rate,W/m,36227.8711390356,36239.70463670001,-11.83349766441097,-0.032664071314034114
h_p05_t_p05,outlet Mach number,-,0.9013251008454262,0.901351632711,-2.6531865573886648e-05,-0.0029436510254735224
h_p05_t_p05,solid minimum temperature,K,550.7980574584903,550.7366554969999,0.06140196149044641,0.011147817364093343
h_p05_t_p05,solid mean temperature,K,636.0593470395315,636.0230959059999,0.03625113353166398,0.005699331941333919
h_p05_t_p05,solid maximum temperature,K,716.1141213703777,716.091304864,0.022816506377694168,0.003186155068975851
