case_id,x_h,x_T,x_hxT,h_scale,T_shift_K,hole_no,boundary_name,h_W_m2K,T_bulk_K
h_m05_t_m05,-1,-1,1,0.950000,-5,1,cooling_hole_01,1024.786852,390.380000
h_m05_t_m05,-1,-1,1,0.950000,-5,2,cooling_hole_02,1052.357023,391.820000
h_m05_t_m05,-1,-1,1,0.950000,-5,3,cooling_hole_03,1016.100388,373.010000
h_m05_t_m05,-1,-1,1,0.950000,-5,4,cooling_hole_04,1049.135667,379.610000
h_m05_t_m05,-1,-1,1,0.950000,-5,5,cooling_hole_05,1070.578065,361.270000
h_m05_t_m05,-1,-1,1,0.950000,-5,6,cooling_hole_06,1107.429369,415.640000
h_m05_t_m05,-1,-1,1,0.950000,-5,7,cooling_hole_07,1055.627291,376.680000
h_m05_t_m05,-1,-1,1,0.950000,-5,8,cooling_hole_08,1507.359845,402.570000
h_m05_t_m05,-1,-1,1,0.950000,-5,9,cooling_hole_09,1053.761955,457.780000
h_m05_t_m05,-1,-1,1,0.950000,-5,10,cooling_hole_10,1409.717640,501.460000
h_m05_t_p05,-1,1,-1,0.950000,5,1,cooling_hole_01,1024.786852,400.380000
h_m05_t_p05,-1,1,-1,0.950000,5,2,cooling_hole_02,1052.357023,401.820000
h_m05_t_p05,-1,1,-1,0.950000,5,3,cooling_hole_03,1016.100388,383.010000
h_m05_t_p05,-1,1,-1,0.950000,5,4,cooling_hole_04,1049.135667,389.610000
h_m05_t_p05,-1,1,-1,0.950000,5,5,cooling_hole_05,1070.578065,371.270000
h_m05_t_p05,-1,1,-1,0.950000,5,6,cooling_hole_06,1107.429369,425.640000
h_m05_t_p05,-1,1,-1,0.950000,5,7,cooling_hole_07,1055.627291,386.680000
h_m05_t_p05,-1,1,-1,0.950000,5,8,cooling_hole_08,1507.359845,412.570000
h_m05_t_p05,-1,1,-1,0.950000,5,9,cooling_hole_09,1053.761955,467.780000
h_m05_t_p05,-1,1,-1,0.950000,5,10,cooling_hole_10,1409.717640,511.460000
h_p05_t_m05,1,-1,-1,1.050000,-5,1,cooling_hole_01,1132.659152,390.380000
h_p05_t_m05,1,-1,-1,1.050000,-5,2,cooling_hole_02,1163.131447,391.820000
h_p05_t_m05,1,-1,-1,1.050000,-5,3,cooling_hole_03,1123.058324,373.010000
h_p05_t_m05,1,-1,-1,1.050000,-5,4,cooling_hole_04,1159.571001,379.610000
h_p05_t_m05,1,-1,-1,1.050000,-5,5,cooling_hole_05,1183.270493,361.270000
h_p05_t_m05,1,-1,-1,1.050000,-5,6,cooling_hole_06,1224.000881,415.640000
h_p05_t_m05,1,-1,-1,1.050000,-5,7,cooling_hole_07,1166.745953,376.680000
h_p05_t_m05,1,-1,-1,1.050000,-5,8,cooling_hole_08,1666.029303,402.570000
h_p05_t_m05,1,-1,-1,1.050000,-5,9,cooling_hole_09,1164.684266,457.780000
h_p05_t_m05,1,-1,-1,1.050000,-5,10,cooling_hole_10,1558.108970,501.460000
h_p05_t_p05,1,1,1,1.050000,5,1,cooling_hole_01,1132.659152,400.380000
h_p05_t_p05,1,1,1,1.050000,5,2,cooling_hole_02,1163.131447,401.820000
h_p05_t_p05,1,1,1,1.050000,5,3,cooling_hole_03,1123.058324,383.010000
h_p05_t_p05,1,1,1,1.050000,5,4,cooling_hole_04,1159.571001,389.610000
h_p05_t_p05,1,1,1,1.050000,5,5,cooling_hole_05,1183.270493,371.270000
h_p05_t_p05,1,1,1,1.050000,5,6,cooling_hole_06,1224.000881,425.640000
h_p05_t_p05,1,1,1,1.050000,5,7,cooling_hole_07,1166.745953,386.680000
h_p05_t_p05,1,1,1,1.050000,5,8,cooling_hole_08,1666.029303,412.570000
h_p05_t_p05,1,1,1,1.050000,5,9,cooling_hole_09,1164.684266,467.780000
h_p05_t_p05,1,1,1,1.050000,5,10,cooling_hole_10,1558.108970,511.460000
