report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208464,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208377,kg/s,1,kg/(s*m)
mass_flow,net,8.6715568e-05,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,35342.079,W,1,W/m
heat_transfer,wall_vane_fluid_side,-35342.079,W,1,W/m
heat_transfer,cooling_hole_01,-3965.2129,W,1,W/m
heat_transfer,cooling_hole_02,-3779.3888,W,1,W/m
heat_transfer,cooling_hole_03,-3710.409,W,1,W/m
heat_transfer,cooling_hole_04,-3844.596,W,1,W/m
heat_transfer,cooling_hole_05,-4465.2285,W,1,W/m
heat_transfer,cooling_hole_06,-3927.8897,W,1,W/m
heat_transfer,cooling_hole_07,-4742.8565,W,1,W/m
heat_transfer,cooling_hole_08,-3239.2428,W,1,W/m
heat_transfer,cooling_hole_09,-2102.6913,W,1,W/m
heat_transfer,cooling_hole_10,-1564.9276,W,1,W/m
heat_transfer,cooling_holes_total,-35342.443,W,1,W/m
wall_yplus,minimum,0.01042313237879829,-,1,-
wall_yplus,area_weighted_average,0.3039303090375298,-,1,-
wall_yplus,maximum,0.45145621380976275,-,1,-
