report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208063,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.207996,kg/s,1,kg/(s*m)
mass_flow,net,6.7402035e-05,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,34411.514,W,1,W/m
heat_transfer,wall_vane_fluid_side,-34411.514,W,1,W/m
heat_transfer,cooling_hole_01,-3863.5092,W,1,W/m
heat_transfer,cooling_hole_02,-3683.6041,W,1,W/m
heat_transfer,cooling_hole_03,-3623.1744,W,1,W/m
heat_transfer,cooling_hole_04,-3749.6064,W,1,W/m
heat_transfer,cooling_hole_05,-4362.5587,W,1,W/m
heat_transfer,cooling_hole_06,-3814.371,W,1,W/m
heat_transfer,cooling_hole_07,-4625.9926,W,1,W/m
heat_transfer,cooling_hole_08,-3151.8779,W,1,W/m
heat_transfer,cooling_hole_09,-2033.5124,W,1,W/m
heat_transfer,cooling_hole_10,-1504.2226,W,1,W/m
heat_transfer,cooling_holes_total,-34412.429,W,1,W/m
wall_yplus,minimum,0.010386601987712359,-,1,-
wall_yplus,area_weighted_average,0.3030700165906608,-,1,-
wall_yplus,maximum,0.4505293757880659,-,1,-
