report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.207848,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.207791,kg/s,1,kg/(s*m)
mass_flow,net,5.6498477e-05,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,33888.025,W,1,W/m
heat_transfer,wall_vane_fluid_side,-33888.025,W,1,W/m
heat_transfer,cooling_hole_01,-3805.1565,W,1,W/m
heat_transfer,cooling_hole_02,-3639.5201,W,1,W/m
heat_transfer,cooling_hole_03,-3580.2656,W,1,W/m
heat_transfer,cooling_hole_04,-3704.2729,W,1,W/m
heat_transfer,cooling_hole_05,-4291.4193,W,1,W/m
heat_transfer,cooling_hole_06,-3768.1223,W,1,W/m
heat_transfer,cooling_hole_07,-4536.6342,W,1,W/m
heat_transfer,cooling_hole_08,-3091.5554,W,1,W/m
heat_transfer,cooling_hole_09,-1993.4227,W,1,W/m
heat_transfer,cooling_hole_10,-1478.8921,W,1,W/m
heat_transfer,cooling_holes_total,-33889.2611,W,1,W/m
wall_yplus,minimum,0.0103681188226,-,1,-
wall_yplus,area_weighted_average,0.302640666493,-,1,-
wall_yplus,maximum,0.450031316493,-,1,-
