report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.20924,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.209118,kg/s,1,kg/(s*m)
mass_flow,net,0.00012248906,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,37208.631,W,1,W/m
heat_transfer,wall_vane_fluid_side,-37208.63,W,1,W/m
heat_transfer,cooling_hole_01,-4171.0433,W,1,W/m
heat_transfer,cooling_hole_02,-3950.1221,W,1,W/m
heat_transfer,cooling_hole_03,-3869.8521,W,1,W/m
heat_transfer,cooling_hole_04,-4016.6974,W,1,W/m
heat_transfer,cooling_hole_05,-4695.3198,W,1,W/m
heat_transfer,cooling_hole_06,-4121.2016,W,1,W/m
heat_transfer,cooling_hole_07,-5024.4389,W,1,W/m
heat_transfer,cooling_hole_08,-3438.0524,W,1,W/m
heat_transfer,cooling_hole_09,-2247.8484,W,1,W/m
heat_transfer,cooling_hole_10,-1673.5007,W,1,W/m
heat_transfer,cooling_holes_total,-37208.077,W,1,W/m
wall_yplus,minimum,0.010492203496753758,-,1,-
wall_yplus,area_weighted_average,0.30565467932267926,-,1,-
wall_yplus,maximum,0.45326095214876083,-,1,-
