report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208824,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208722,kg/s,1,kg/(s*m)
mass_flow,net,0.00010228212,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,36227.871,W,1,W/m
heat_transfer,wall_vane_fluid_side,-36227.871,W,1,W/m
heat_transfer,cooling_hole_01,-4064.1333,W,1,W/m
heat_transfer,cooling_hole_02,-3850.1272,W,1,W/m
heat_transfer,cooling_hole_03,-3779.2685,W,1,W/m
heat_transfer,cooling_hole_04,-3917.5184,W,1,W/m
heat_transfer,cooling_hole_05,-4587.6787,W,1,W/m
heat_transfer,cooling_hole_06,-4001.5293,W,1,W/m
heat_transfer,cooling_hole_07,-4900.6362,W,1,W/m
heat_transfer,cooling_hole_08,-3345.2004,W,1,W/m
heat_transfer,cooling_hole_09,-2173.6068,W,1,W/m
heat_transfer,cooling_hole_10,-1608.2908,W,1,W/m
heat_transfer,cooling_holes_total,-36227.989,W,1,W/m
wall_yplus,minimum,0.010453670600281418,-,1,-
wall_yplus,area_weighted_average,0.304742977727385,-,1,-
wall_yplus,maximum,0.4522872729156204,-,1,-
