report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.209067,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208952,kg/s,1,kg/(s*m)
mass_flow,net,0.00011440113,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,36775.127,W,1,W/m
heat_transfer,wall_vane_fluid_side,-36775.127,W,1,W/m
heat_transfer,cooling_hole_01,-4122.7193,W,1,W/m
heat_transfer,cooling_hole_02,-3916.1422,W,1,W/m
heat_transfer,cooling_hole_03,-3836.9995,W,1,W/m
heat_transfer,cooling_hole_04,-3981.6902,W,1,W/m
heat_transfer,cooling_hole_05,-4635.6606,W,1,W/m
heat_transfer,cooling_hole_06,-4085.4269,W,1,W/m
heat_transfer,cooling_hole_07,-4946.7036,W,1,W/m
heat_transfer,cooling_hole_08,-3385.6849,W,1,W/m
heat_transfer,cooling_hole_09,-2212.2619,W,1,W/m
heat_transfer,cooling_hole_10,-1651.5487,W,1,W/m
heat_transfer,cooling_holes_total,-36774.838,W,1,W/m
wall_yplus,minimum,0.01047736562789,-,1,-
wall_yplus,area_weighted_average,0.3052558730386,-,1,-
wall_yplus,maximum,0.4528563802166,-,1,-
