report,boundary_or_statistic,value,fluent_unit,reference_depth_m,unit_per_span
mass_flow,inlet,19.208248,kg/s,1,kg/(s*m)
mass_flow,outlet,-19.208172,kg/s,1,kg/(s*m)
mass_flow,net,7.629237e-05,kg/s,1,kg/(s*m)
heat_transfer,wall_vane_solid_side,34862.861,W,1,W/m
heat_transfer,wall_vane_fluid_side,-34862.861,W,1,W/m
heat_transfer,cooling_hole_01,-3913.9793,W,1,W/m
heat_transfer,cooling_hole_02,-3720.2322,W,1,W/m
heat_transfer,cooling_hole_03,-3659.0593,W,1,W/m
heat_transfer,cooling_hole_04,-3787.3941,W,1,W/m
heat_transfer,cooling_hole_05,-4425.2127,W,1,W/m
heat_transfer,cooling_hole_06,-3852.0931,W,1,W/m
heat_transfer,cooling_hole_07,-4705.8927,W,1,W/m
heat_transfer,cooling_hole_08,-3205.354,W,1,W/m
heat_transfer,cooling_hole_09,-2068.7649,W,1,W/m
heat_transfer,cooling_hole_10,-1525.5662,W,1,W/m
heat_transfer,cooling_holes_total,-34863.549,W,1,W/m
wall_yplus,minimum,0.01040226372807,-,1,-
wall_yplus,area_weighted_average,0.3034833057986,-,1,-
wall_yplus,maximum,0.4509552718644,-,1,-
