quantity,linear_fit_slope_per_K,linear_fit_intercept,r_squared,max_abs_linear_residual,max_linear_residual_percent_of_response_span,central_second_derivative_3point_per_K2,central_second_derivative_5point_per_K2
wall_temperature_mean_K,0.30489850852,655.623631773,0.999998036146,0.0044151632,0.072403356926,0.00025703552,0.0002905476
external_heat_rate_W_per_m,-95.610877336,35819.1327691,0.999999875941,0.469652740001,0.024560004808,-0.045260552,-0.056291569667
outlet_mach,-9.57467740007e-07,0.901315648968,0.289590871909,2.12079938e-05,58.8118467083,2.121214e-06,2.651587e-06
solid_temperature_min_K,0.59035328264,552.825194175,0.99999990128,0.0016151992,0.013679915927,0.00019186016,0.00025844091
solid_temperature_mean_K,0.35479699344,637.4989749,0.99999897588,0.0039336136,0.055434413951,0.00024978352,0.00028829976
solid_temperature_max_K,0.1811901698,716.833573399,0.999997996365,0.0028739562,0.079303336839,0.00018925656,0.00022021419
wall_temperature_mape_pressure_percent,0.056139578499,1.46501592809,0.998589504099,0.020217972168,1.8112783628,0.000686790213,0.000689392799
wall_temperature_mape_suction_percent,0.0418734623582,2.00962736036,0.999663838368,0.007592812042,0.910019271197,0.000128364032,9.6944834e-05
htc_mape_pressure_percent,-0.0116769855018,7.79684696426,0.998161682094,0.005376310427,2.32776702132,-8.098149e-05,-0.000144534035
htc_mape_suction_percent,-0.040845519792,11.5325596432,0.999940502569,0.0027601867,0.337844373577,-4.5405576e-05,-2.7844283e-05
