quantity,central_derivative_pm5K,five_point_derivative_pm10K,five_point_vs_central_difference_percent,linear_fit_slope_per_K,normalized_sensitivity_using_mean_Tbulk
wall_temperature_mean_K,0.3048907486,0.3048875153,0.00106047822588,0.30489850852,0.190677624077
external_heat_rate_W_per_m,-95.60109022,-95.597012255,0.00426560512125,-95.610877336,-1.09433236451
outlet_mach,-9.64960099992e-07,-9.68081916656e-07,0.323517694095,-9.57467740007e-07,-0.000438985144179
solid_temperature_min_K,0.5903495614,0.590348010883,0.000262643824626,0.59035328264,0.43785388478
solid_temperature_mean_K,0.354789446,0.354786301233,0.000886375484913,0.35479699344,0.228192329048
solid_temperature_max_K,0.1811500236,0.181133296017,0.00923410496821,0.1811901698,0.103616509497
wall_temperature_mape_pressure_percent,0.05745255833,0.0579996332596,0.952220310987,0.056139578499,16.268491022
wall_temperature_mape_suction_percent,0.042495855717,0.0427551862832,0.610249074389,0.0418734623582,8.69241604751
htc_mape_pressure_percent,-0.012192070769,-0.0124066896303,1.76031508839,-0.0116769855018,-0.641305942453
htc_mape_suction_percent,-0.04082770742,-0.0408202855983,0.0181783943689,-0.040845519792,-1.45128940692
