distance_upstream_min_mm,distance_upstream_max_mm,midpoint_mm,n_cells,Tu_median_percent,Tu_p10_percent,Tu_p90_percent,mut_over_mu_median,intermittency_median,retheta_median,speed_median_m_s,k_median_m2_s2
50,55,52.5,260,3.92392040674,3.53762840918,4.41572105028,9.22020167661,1,126.332609489,92.569128445,19.7247262928
45,50,47.5,254,3.1264802351,2.90551443307,3.37168504527,8.88782861389,1,156.433877125,92.7618559682,12.6269429408
40,45,42.5,259,2.67612825834,2.50304013806,2.85536631459,8.66386994628,1,182.844206568,92.4962509051,9.22345631373
35,40,37.5,266,2.37714197174,2.21418723545,2.52400328736,8.49741327017,1,204.952549145,92.6859180819,7.23466618681
30,35,32.5,272,2.15501743473,1.98290297805,2.31220838492,8.3642156321,1,227.161512694,92.5390279673,5.93599412767
25,30,27.5,273,1.98348177421,1.79309545774,2.17686163463,8.25293367127,1,247.087135939,92.2821069235,5.01913228475
20,25,22.5,276,1.83149658779,1.62351233593,2.11279507319,8.1576277766,0.999999999999,269.565124619,92.7636887354,4.32559554018
15,20,17.5,262,1.67991698123,1.46544132128,2.10292268942,8.07011165777,0.999999999998,294.662213953,94.9527468947,3.78434322372
10,15,12.5,259,1.5529710202,1.31521520467,2.15034340135,7.98945278599,0.999999999995,319.186082823,96.4952185725,3.3603485209
5,10,7.5,245,1.38797624329,1.16406378388,2.13623030645,7.91238543868,0.999999999987,357.057862986,102.909128952,3.03682937543
2,5,3.5,123,1.24732612165,1.03711854902,1.81590874462,7.8512417751,0.999999999968,412.932813648,113.540053692,2.90901382274
