distance_upstream_min_mm,distance_upstream_max_mm,midpoint_mm,n_cells,Tu_median_percent,Tu_p10_percent,Tu_p90_percent,mut_over_mu_median,intermittency_median,retheta_median,speed_median_m_s,k_median_m2_s2
50,55,52.5,260,1.32926605802,1.1541266811,1.62251544878,0.764537851307,0.999354485369,262.30463099,92.5994145767,2.32668874502
45,50,47.5,254,0.99351534443,0.907681117861,1.09864323631,0.729509820514,0.999270317331,425.021557832,92.7921619634,1.27417843139
40,45,42.5,259,0.825067523681,0.761677008686,0.889011757668,0.708231347541,0.999033816287,575.277236906,92.5263055091,0.876952289179
35,40,37.5,266,0.719128884026,0.664956868183,0.771710891614,0.692709801394,0.998957089048,706.463479676,92.7161573534,0.662932805196
30,35,32.5,272,0.644285376243,0.589481956394,0.698569728575,0.681150151774,0.998893705122,776.744801876,92.5692089268,0.532100538145
25,30,27.5,273,0.589404913934,0.530561301121,0.649050519827,0.671603792722,0.998662530428,823.281927393,92.3114641051,0.442436090586
20,25,22.5,276,0.541223354354,0.480783254948,0.625563324854,0.663471480663,0.998242857467,894.679019988,92.7938045076,0.377203719075
15,20,17.5,262,0.4956219698,0.431065481332,0.618559247561,0.656213860162,0.997557700755,945.395938347,94.984879331,0.329356245015
10,15,12.5,259,0.456757759128,0.38525227109,0.632008207958,0.649830516175,0.997280339337,977.724120025,96.5247877233,0.290904444149
5,10,7.5,245,0.407459281478,0.339400326598,0.625028614651,0.643689882892,0.99732901243,1017.52853349,102.939742215,0.261102593927
2,5,3.5,123,0.363710121929,0.302154959062,0.530512353768,0.638547984442,0.997576959711,1062.82797932,113.578063403,0.249088191537
