metric,units,value
final_iteration,-,1046
mass_flow_inlet,kg/(s*m),19.2080277388
mass_flow_outlet,kg/(s*m),-19.2080453545
mass_flow_net,kg/(s*m),-1.76156748211e-05
mass_imbalance_percent,%,9.17099193261e-05
heat_rate_wall_vane,W/m,22919.7671673
heat_rate_wall_vane_shadow,W/m,-22919.7677018
interface_heat_residual,W/m,-0.000534432059794
interface_mismatch_percent,%,2.33175169666e-06
wall_yplus_min,-,0.00653421561798
wall_yplus_area_average,-,0.213659708634
wall_yplus_max,-,0.393623749188
qext_20iter_max_relative_change_percent,%,0.00267550508391
tw_20iter_max_relative_change_percent,%,0.000394167815074
mach_20iter_max_relative_change_percent,%,7.02046025928e-05
final_normalized_residual_continuity,-,2.02073656756e-05
final_normalized_residual_x-velocity,-,2.03036823595e-09
final_normalized_residual_y-velocity,-,4.25196608288e-09
final_normalized_residual_energy,-,7.42645789509e-09
final_normalized_residual_k,-,6.75600679546e-07
final_normalized_residual_omega,-,1.01806295651e-06
final_normalized_residual_intermit,-,1.74625758849e-07
final_normalized_residual_retheta,-,7.77649915594e-07
