surface,event,intermittency,s_over_side_arc,x_over_axial_chord,wall_temperature_K,wall_shear_magnitude_Pa
suction,mid_side_intermit_min,0.0200001246571,,,,
suction,mid_side_intermit_max,0.0225166889108,,,,
pressure,mid_side_intermit_min,0.0200001536906,,,,
pressure,mid_side_intermit_max,0.0203651745351,,,,
suction,first_intermittency_ge_0.021,0.0210526961611,0.849917343596,0.909777453453,603.450314105,0.117732993531
suction,first_intermittency_ge_0.022,0.0220172314216,0.88058627963,0.929937805371,615.786169179,0.134441683523
suction,first_intermittency_ge_0.025,0.0250049923969,0.930972148934,0.96155245216,650.298944678,0.125033951803
suction,first_intermittency_ge_0.030,0.0306569772419,0.939734633761,0.966688346641,652.931892443,0.130679914235
suction,max_abs_dgamma_d_sfrac,0.0306569772419,0.939734633761,0.966688346641,652.931892443,0.130679914235
suction,max_abs_dTw_d_sfrac,0.0201559261389,0.808294668285,0.88153308208,572.583300922,0.074706047098
suction,max_abs_dtau_d_sfrac,0.0354843836418,0.941925290326,0.96796452581,653.42587156,0.140434529518
