quantity,baseline_tu065_vr10,tu083_vr10,absolute_change,relative_change_percent
Tu_2_to_5mm_percent,1.24732612165,1.23703920075,-0.0102869208972,-0.82471782789
mut_over_mu_2_to_5mm,7.8512417751,7.52764263898,-0.323599136127,-4.12162999684
retheta_2_to_5mm,412.932813648,417.411643042,4.47882939434,1.08463877084
k_2_to_5mm_m2_s2,2.90901382274,2.8590254816,-0.0499883411344,-1.71839476127
speed_2_to_5mm_m_s,113.540053692,113.539682537,-0.000371155088231,-0.000326893528902
suction_max_dgamma_x_over_Cx,0.653383547974,0.655118484874,0.00173493690028,0.265531157872
suction_max_dTw_x_over_Cx,0.653383547974,0.655118484874,0.00173493690028,0.265531157872
suction_max_dtau_x_over_Cx,0.655118484874,0.656850231333,0.00173174645899,0.264340954953
mean_external_wall_temperature_K,608.878997099,608.677654394,-0.201342704958,-0.0330677697732
external_heat_transfer_rate_W_per_m,28548.2741519,28513.3358261,-34.9383257863,-0.122383320268
outlet_Mach,0.903351068254,0.903357517152,6.44889774293e-06,0.000713886103593
