quantity,baseline_vr10,tu065_vr01,absolute_change,relative_change_percent
Tu_2_to_5mm_percent,1.24732612165,0.363710121929,-0.883615999719,-70.8408157565
mut_over_mu_2_to_5mm,7.8512417751,0.638547984442,-7.21269379066,-91.8669173268
retheta_2_to_5mm,412.932813648,1062.82797932,649.895165671,157.385207518
k_2_to_5mm_m2_s2,2.90901382274,0.249088191537,-2.6599256312,-91.4373665196
speed_2_to_5mm_m_s,113.540053692,113.578063403,0.0380097105903,0.0334769179283
suction_max_dgamma_x_over_Cx,0.653383547974,0.966688346641,0.313304798667,47.9511306397
suction_max_dTw_x_over_Cx,0.653383547974,0.88153308208,0.228149534107,34.918163277
suction_max_dtau_x_over_Cx,0.655118484874,0.96796452581,0.312846040936,47.754115959
mean_external_wall_temperature_K,608.878997099,574.704752617,-34.1742444823,-5.61264958146
external_heat_transfer_rate_W_per_m,28548.2741519,22919.7671673,-5628.50698452,-19.7157521838
outlet_Mach,0.903351068254,0.905423919473,0.00207285121928,0.229462419664
